"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ARHGEF18",-1.30566612770871,10.6535217949913,-10.1147897546297,7.07960333100708e-09,7.89468436372355e-07,10.6734761992239
"KIAA1211",-1.48945330481353,5.89847203660936,-10.0929230938521,7.32127634911657e-09,7.99572523256663e-07,10.640316424124
"NR3C2",-2.56110450436541,8.86245179095592,-10.0779457937184,7.49177590220746e-09,8.05895631015741e-07,10.6175711639127
"HRCT1",-2.09716953042063,8.26334621009798,-10.0582835503139,7.72193748278985e-09,8.26480132894176e-07,10.5876704673136
"WBP2",-1.02469768623987,8.03537598272164,-10.0368125334712,7.98174143072924e-09,8.45440952973567e-07,10.554966335427
"NEDD4L",-1.40930559054565,7.89043232824316,-10.0304520956958,8.06044735792111e-09,8.45440952973567e-07,10.5452676719239
"SLC16A14",-2.4100028723223,6.83845110648891,-10.0191651294591,8.20212058397462e-09,8.45440952973567e-07,10.5280448900212
"KLF9",-1.0244828554554,5.67740171746887,-9.94464140835395,9.20536421484369e-09,9.08328758852055e-07,10.4139447334356
"MIR22HG",-2.49417661390677,9.14251052524736,-9.93034066487904,9.41213608800765e-09,9.19582965772821e-07,10.3919728759284
"SPPL2A",-1.477552742767,8.81265195021554,-9.9227623515774,9.52367312822162e-09,9.23369147696539e-07,10.380319426284
"HOXD1",-1.63929479800034,7.29909361294848,-9.91890693047993,9.58094660035378e-09,9.23369147696539e-07,10.3743881367061
"UGCG",-1.23251923126428,8.71079058760945,-9.90444446563279,9.79902121571193e-09,9.35778960084041e-07,10.3521226256955
"PDCD4",-1.25461974883398,7.88077638984574,-9.90166535328465,9.84151777354924e-09,9.35778960084041e-07,10.347841173671
"CD59",-1.11614348820779,9.58666234251332,-9.88903981182899,1.00370209929374e-08,9.4541824986919e-07,10.3283786886134
"CD1D",-1.29064406894041,4.95251338945797,-9.82362676534831,1.11170191399588e-08,1.01261010321589e-06,10.2272330281797
"SEMA6A",-1.3046835151873,6.03960320726914,-9.81256679050061,1.13113174684747e-08,1.01376322792824e-06,10.2100798618216
"CA7",-2.86946160485584,7.63862387307661,-9.77509812190636,1.19963713014e-08,1.04055864525345e-06,10.1518576452251
