,logFC,logCPM,insert,PValue,FDR
NLGN1,-3.784261961,-1.163545206,NA,3.97E-69,2.08E-67
TAGLN3,-3.703349812,-1.063523463,NA,5.35E-69,2.80E-67
ZNF536,-2.921399993,-0.592345407,NA,6.22E-69,3.25E-67
SLCO2A1,-2.100018427,4.895848815,NA,7.21E-69,3.75E-67
PIANP,-2.438956254,-0.346506284,NA,9.76E-69,5.06E-67
CDHR5,-2.332491234,7.343472807,NA,1.01E-68,5.23E-67
ARHGAP20,-2.598593218,0.323755757,NA,1.03E-68,5.31E-67
ARRDC4,-1.690000714,5.01503324,NA,1.09E-68,5.64E-67
FOXF2,-2.202647732,2.893019554,NA,1.12E-68,5.80E-67
SULT1B1,-2.691590424,6.252042662,NA,1.29E-68,6.63E-67
MRGPRF,-2.585716876,3.672997392,NA,1.38E-68,7.09E-67
CDH10,-3.876018726,-3.291583698,NA,1.56E-68,8.02E-67
PIGCP1,-1.429962673,0.686590823,NA,1.90E-68,9.70E-67
AKAP6,-2.262358589,1.840594379,NA,1.99E-68,1.02E-66
GPT,-2.864874535,4.061109564,NA,2.99E-68,1.52E-66
WISP2,-3.676437662,0.93867853,NA,3.09E-68,1.57E-66
P2RY4,-3.410718592,-2.085628112,NA,3.14E-68,1.59E-66
AC113383.1,-2.48232811,-1.902602774,NA,3.52E-68,1.78E-66
INAFM2,-1.594320317,2.607453779,NA,3.58E-68,1.81E-66
TSPAN1,-2.288537228,8.703949418,NA,4.50E-68,2.27E-66
SCN4B,-2.191779115,1.280945602,NA,6.30E-68,3.17E-66
LINC02023,-3.955797855,-1.447145499,NA,8.93E-68,4.49E-66
SCUBE2,-2.495205995,2.478504841,NA,9.47E-68,4.76E-66
PLCD4,-1.582409331,1.739666472,NA,9.82E-68,4.93E-66
GSTA2,-4.274567703,-1.261907233,NA,1.13E-67,5.67E-66
C11orf86,-3.720906152,2.466665613,NA,1.14E-67,5.70E-66
CCDC68,-2.163016438,3.863597018,NA,1.15E-67,5.72E-66
MT1JP,-3.547818092,-3.455872255,NA,1.41E-67,7.02E-66
CAV1,-2.147533356,5.687676281,NA,1.47E-67,7.31E-66
MMRN1,-3.236980123,2.386159131,NA,1.71E-67,8.49E-66
STIM1,-1.066609455,5.835887147,NA,1.85E-67,9.18E-66
PNCK,-3.369316326,1.590403545,NA,3.01E-67,1.49E-65
LGALS4,-1.871355458,10.43533921,NA,3.18E-67,1.57E-65
RBM20,-2.834528682,-0.465341853,NA,3.43E-67,1.69E-65
FLVCR2,-1.95650848,2.797488502,NA,3.57E-67,1.76E-65
SPEG,-3.003860136,3.228896432,NA,3.61E-67,1.77E-65
LINC02038,-1.883751264,0.464894307,NA,4.25E-67,2.08E-65
UBE2FP1,-1.802774548,-0.625414049,NA,5.95E-67,2.91E-65
LINC01082,-2.691316585,-0.206131874,NA,7.11E-67,3.47E-65
SYNPO,-1.631772499,6.20565726,NA,1.34E-66,6.51E-65
PDCD4-AS1,-1.427700233,0.598444518,NA,1.49E-66,7.25E-65
CMA1,-3.963696675,-1.126773315,NA,1.69E-66,8.19E-65
SCIN,-2.610060267,4.399191655,NA,1.89E-66,9.14E-65
MAS1L,-3.915175136,-3.468178468,NA,2.08E-66,1.00E-64
PLA2G2C,-3.28596957,-2.885719292,NA,2.15E-66,1.03E-64
SCNN1G,-4.222186619,0.753408282,NA,2.26E-66,1.08E-64
LINC02185,-2.886405047,-3.268466852,NA,2.64E-66,1.26E-64
VSIR,-1.607049918,5.445322887,NA,3.04E-66,1.45E-64
GDNF,-2.288713156,0.375939119,NA,3.05E-66,1.46E-64
SLC16A12,-2.764040062,-2.320484277,NA,3.19E-66,1.52E-64
NEDD4L,-1.309786759,6.110114989,NA,3.46E-66,1.65E-64
ACKR2,-2.332039825,0.292407903,NA,4.41E-66,2.09E-64
CPNE5,-1.992589975,2.784470001,NA,4.54E-66,2.15E-64
MEF2C-AS1,-2.919610936,-2.019631913,NA,4.71E-66,2.23E-64
KRT20,-2.708434275,8.640879335,NA,6.06E-66,2.86E-64
KAT2B,-1.757843573,3.699024387,NA,6.21E-66,2.93E-64
MSRB3,-2.517362891,4.637626365,NA,7.65E-66,3.60E-64
DISP2,-2.252349515,2.655120002,NA,7.96E-66,3.74E-64
TCP11L1,-1.150085656,2.90064337,NA,1.20E-65,5.65E-64
PPY,-4.295859487,-2.699966657,NA,2.17E-65,1.02E-63
MAGEE2,-3.237065298,-3.417223468,NA,2.33E-65,1.09E-63
CA14,-2.162723553,-0.339110946,NA,2.68E-65,1.25E-63
