,logFC,logCPM,insert,PValue,FDR
LIFR-AS1,-2.349220547,-2.244811208,NA,8.53E-48,2.29E-46
CAPN5,-1.383200854,7.475181437,NA,8.74E-48,2.34E-46
KCNK3,-2.937585724,0.36594637,NA,9.94E-48,2.66E-46
LINC01954,-2.953488823,-2.581625116,NA,1.03E-47,2.76E-46
AC004147.4,-3.516424013,-3.640578688,NA,1.14E-47,3.04E-46
APOBEC3A,-2.532961355,0.132387804,NA,1.36E-47,3.63E-46
CASC18,-2.717323102,-2.573725166,NA,1.46E-47,3.87E-46
EPAS1,-1.202111287,7.242044941,NA,1.85E-47,4.92E-46
IGSF10,-2.68877234,0.883021589,NA,1.87E-47,4.96E-46
PRDM6,-2.280524041,1.04137712,NA,1.94E-47,5.14E-46
SEMA3E,-3.6752599,-0.067573916,NA,2.06E-47,5.47E-46
AC012085.2,-3.978321865,-0.782103341,NA,2.10E-47,5.55E-46
MAF,-1.699397884,4.432514133,NA,2.19E-47,5.78E-46
LINC01135,-1.751771184,-2.404837249,NA,2.37E-47,6.25E-46
NOS1,-3.37475547,0.142412262,NA,2.43E-47,6.40E-46
TMPRSS2,-1.383482989,7.821532167,NA,2.68E-47,7.06E-46
SCN3A,-2.239952291,-0.337176512,NA,2.84E-47,7.47E-46
RASL12,-1.683084697,2.933173792,NA,2.95E-47,7.78E-46
CES3,-2.180151266,5.630930564,NA,3.08E-47,8.10E-46
ASPG,-2.773612121,1.422338172,NA,3.13E-47,8.22E-46
TARID,-2.15709566,-1.644248151,NA,3.66E-47,9.62E-46
ACAT1,-1.288575182,5.941839174,NA,3.67E-47,9.63E-46
BCL2L11,-1.02324726,4.711630871,NA,4.09E-47,1.07E-45
SVILP1,-1.822287322,-0.630206052,NA,4.10E-47,1.07E-45
PROKR1,-2.782492905,-3.110161346,NA,4.60E-47,1.20E-45
AL359736.2,-3.076959217,-3.218231594,NA,5.37E-47,1.40E-45
ANO10,-1.062076703,5.555926824,NA,5.48E-47,1.43E-45
MGAT4A,-1.260145393,6.039270873,NA,5.95E-47,1.55E-45
STUM,-3.168872772,1.955598971,NA,6.01E-47,1.56E-45
AL121974.1,-5.67691172,-3.097602261,NA,6.05E-47,1.57E-45
NUGGC,-2.516898875,0.221794193,NA,6.32E-47,1.64E-45
CAPN2,-1.170499333,7.97182906,NA,7.82E-47,2.02E-45
PTK2B,-1.261880971,5.857950829,NA,8.26E-47,2.13E-45
GYPC,-1.74373361,3.312714144,NA,8.35E-47,2.16E-45
DNAJC28,-1.528905295,-0.427325892,NA,9.66E-47,2.49E-45
TBC1D1,-1.111690692,5.85972293,NA,9.82E-47,2.53E-45
GLRA4,-2.69307581,-0.94655604,NA,9.95E-47,2.56E-45
TMEM130,-2.47109976,-0.17744596,NA,1.06E-46,2.74E-45
C14orf132,-2.0571047,2.703249435,NA,1.09E-46,2.81E-45
SLC23A3,-1.791220859,1.042247446,NA,1.14E-46,2.94E-45
GNG8,-2.467733046,-2.65133442,NA,1.18E-46,3.02E-45
ACTG1P22,-3.004154249,-2.390315753,NA,1.25E-46,3.19E-45
NRSN1,-3.301577423,-2.531898716,NA,1.39E-46,3.54E-45
KLRB1,-1.931346495,1.523741644,NA,1.50E-46,3.83E-45
SPOCK3,-3.82059752,-1.846055989,NA,1.68E-46,4.29E-45
LGR4,-1.265542449,6.274414117,NA,1.70E-46,4.33E-45
AC068189.1,-2.672168472,-2.862485215,NA,1.76E-46,4.48E-45
MRGPRF-AS1,-2.534923958,-2.994671223,NA,1.97E-46,4.99E-45
CCDC158,-2.070796205,-1.560269881,NA,2.14E-46,5.42E-45
AL022318.1,-2.861726464,-2.894292986,NA,2.37E-46,5.99E-45
RASGEF1C,-3.022097551,-1.992800022,NA,2.51E-46,6.34E-45
IL10RB,-1.085540582,5.705193472,NA,2.69E-46,6.78E-45
SLC30A4,-1.463392954,3.176952914,NA,3.18E-46,7.99E-45
MOCS1,-1.623664462,3.390845902,NA,3.80E-46,9.53E-45
TMEM30B,-1.123497647,6.094821368,NA,4.36E-46,1.09E-44
A2M-AS1,-1.792347469,-0.797981266,NA,4.38E-46,1.10E-44
OSBPL1A,-1.639534535,4.436119879,NA,6.53E-46,1.63E-44
AL121949.2,-3.709092779,-2.968545909,NA,6.76E-46,1.68E-44
SCP2,-1.112482182,7.064933198,NA,8.54E-46,2.13E-44
LRRC66,-1.820172553,3.027084575,NA,9.76E-46,2.42E-44
PLCD3,-1.567386756,6.862251928,NA,1.07E-45,2.64E-44
SYT10,-3.48775992,-2.733403177,NA,1.07E-45,2.64E-44
FAM163A,-2.125878798,-0.900287463,NA,1.22E-45,3.02E-44
SOS2,-1.055835362,5.200226179,NA,1.29E-45,3.19E-44
PCSK7,-1.15233141,5.773061608,NA,1.42E-45,3.49E-44
AL691432.2,-1.15020848,1.914114486,NA,1.46E-45,3.59E-44
ATP8A2,-1.862209005,-0.449444732,NA,1.57E-45,3.87E-44
MFAP4,-2.179826832,5.728171774,NA,1.60E-45,3.93E-44
PER3,-1.779843733,3.320019133,NA,1.61E-45,3.96E-44
FEZ1,-1.639067202,2.385135713,NA,1.83E-45,4.48E-44
MEIS1,-1.951542094,3.216317869,NA,1.88E-45,4.60E-44
EPB41L4B,-1.298768612,6.803639849,NA,1.90E-45,4.65E-44
UGT2B15,-3.029056141,2.789468579,NA,2.69E-45,6.58E-44
SLC9A2,-2.210558602,4.7180625,NA,2.77E-45,6.75E-44
MARCKS,-1.175542783,7.553974247,NA,3.72E-45,9.05E-44
LINC01634,-2.88233,-3.443354782,NA,3.76E-45,9.15E-44
SLC8A2,-2.890973942,0.316448777,NA,3.81E-45,9.27E-44
TXNIP,-1.546014175,8.914625852,NA,3.99E-45,9.70E-44
PRKAR2B,-2.010569018,3.042190294,NA,5.12E-45,1.24E-43
AF165147.1,-2.460917718,-1.710280049,NA,5.25E-45,1.27E-43
CD22,-2.621919124,1.941876923,NA,5.58E-45,1.35E-43
SEMA3G,-1.945587036,2.755119357,NA,5.69E-45,1.37E-43
UGT2A3,-3.197295112,4.409729522,NA,5.88E-45,1.42E-43
POU3F4,-4.143559295,-3.391529461,NA,6.15E-45,1.48E-43
CYSLTR1,-1.817316461,0.808830943,NA,6.82E-45,1.64E-43
ANKRD33B,-1.930400833,0.885154028,NA,7.02E-45,1.68E-43
GPR119,-3.558533507,-3.597717417,NA,7.60E-45,1.82E-43
CPXM2,-2.427880369,3.672505676,NA,7.96E-45,1.91E-43
BCL2,-1.694223216,3.366967268,NA,8.14E-45,1.95E-43
AC120042.3,-3.242852972,-1.590539114,NA,8.37E-45,2.00E-43
MFAP5,-2.671717893,3.399017532,NA,8.61E-45,2.06E-43
SIGLEC8,-2.320616797,-0.033435506,NA,9.11E-45,2.17E-43
RGS2,-1.920462893,4.56389702,NA,9.37E-45,2.24E-43
FERMT2,-1.885757924,4.65867744,NA,9.56E-45,2.28E-43
TLR10,-2.424714016,0.096985628,NA,1.16E-44,2.75E-43
FGF14-AS2,-2.162980172,-1.2309518,NA,1.26E-44,2.99E-43
SLC8A1,-1.677794332,3.447979362,NA,1.27E-44,3.01E-43
FAM13C,-1.863599634,0.675188443,NA,1.30E-44,3.08E-43
GPA33,-1.818818535,8.187839343,NA,1.36E-44,3.23E-43
TMEM74,-2.413964606,-2.221495202,NA,1.38E-44,3.26E-43
MYORG,-1.225954647,6.472596284,NA,1.38E-44,3.27E-43
KCTD9,-1.35364507,4.707017143,NA,1.60E-44,3.77E-43
FAM189A2,-2.321480559,0.419541676,NA,1.61E-44,3.81E-43
LINC01055,-2.611218638,-2.734790328,NA,1.64E-44,3.86E-43
BMP5,-2.584847087,1.448280438,NA,2.20E-44,5.18E-43
HCFC2,-1.225672666,3.096457701,NA,2.24E-44,5.26E-43
LY9,-2.143340964,0.84660374,NA,2.63E-44,6.19E-43
AC130371.2,-1.970689826,-1.310243339,NA,2.67E-44,6.28E-43
AC009133.3,-2.564690781,-2.446274991,NA,2.76E-44,6.47E-43
AL355607.1,-3.015229496,-3.304816685,NA,2.90E-44,6.81E-43
EPHA5,-2.862525255,-2.612387064,NA,3.14E-44,7.36E-43
AMOTL1,-1.98159063,4.227004482,NA,3.28E-44,7.69E-43
PPP1R3C,-2.307592944,1.612665,NA,3.49E-44,8.15E-43
IGSF3,-1.215159432,4.8686466,NA,3.54E-44,8.26E-43
LINC01752,-2.428370391,0.412760139,NA,3.67E-44,8.55E-43
CCL28,-2.143747514,5.108924199,NA,3.72E-44,8.68E-43
CLMP,-2.015571625,3.790176246,NA,4.05E-44,9.44E-43
AL135905.1,-1.620553374,0.420179456,NA,4.10E-44,9.53E-43
HBB,-2.605802254,4.520248952,NA,4.28E-44,9.94E-43
ZEB1,-1.858106672,4.261192396,NA,4.62E-44,1.07E-42
AC002398.2,-3.355665172,-3.248837983,NA,5.89E-44,1.36E-42
B3GALT5,-2.65802948,5.417712808,NA,7.72E-44,1.78E-42
NIPAL1,-1.325246616,4.868497059,NA,7.72E-44,1.78E-42
RHEX,-2.318389449,-0.331359622,NA,8.12E-44,1.87E-42
ADRB2,-1.97732782,-0.093803582,NA,8.66E-44,1.99E-42
NPR1,-1.745105863,2.272753588,NA,8.73E-44,2.00E-42
ZNF229,-2.118136799,-0.76795355,NA,9.14E-44,2.09E-42
CORO2B,-2.180941662,0.644167528,NA,9.66E-44,2.21E-42
SNAP91,-3.163510056,-1.507903338,NA,1.04E-43,2.38E-42
RIMKLA,-1.514032249,3.731585438,NA,1.28E-43,2.92E-42
TGFB1I1,-1.540876285,5.036850678,NA,1.37E-43,3.12E-42
ZNF835,-2.081366524,-1.239384732,NA,1.39E-43,3.16E-42
PRICKLE2,-1.781417205,2.780853101,NA,1.42E-43,3.24E-42
AC144831.1,-1.932866515,-0.237212441,NA,1.55E-43,3.52E-42
MGAT4C,-3.354357909,-2.415455129,NA,1.92E-43,4.33E-42
MEF2C,-1.617117517,3.664010242,NA,1.96E-43,4.42E-42
KLHDC8B,-1.478421684,3.280368286,NA,2.25E-43,5.07E-42
SSPN,-1.790683192,3.538226994,NA,2.37E-43,5.33E-42
MAGI3,-1.11335366,4.705563367,NA,2.38E-43,5.34E-42
RPL15P21,-2.271925103,-2.779580263,NA,2.47E-43,5.56E-42
PPP2R2B,-2.142882099,-0.153833981,NA,2.60E-43,5.84E-42
TST,-1.429450333,7.466734665,NA,2.92E-43,6.52E-42
ATP13A4,-2.516206439,0.457505392,NA,3.26E-43,7.29E-42
VPS4B,-1.060808192,5.965034869,NA,3.46E-43,7.73E-42
CLIP4,-2.072431191,2.261985597,NA,3.64E-43,8.13E-42
KIF13B,-1.301495991,6.508978308,NA,3.77E-43,8.41E-42
P2RY8,-1.717908565,2.215443347,NA,3.89E-43,8.68E-42
GSTM2,-1.535688625,2.117432425,NA,3.92E-43,8.74E-42
AC093627.6,-2.827536093,-2.453162035,NA,4.02E-43,8.95E-42
GNG12,-1.115365379,7.184314481,NA,4.17E-43,9.28E-42
ACADM,-1.305699888,5.385135214,NA,5.22E-43,1.16E-41
WDR7,-1.11197924,3.754860625,NA,6.78E-43,1.50E-41
WASHC2C,-1.056340708,4.692373222,NA,6.88E-43,1.52E-41
NLGN4X,-2.11416297,0.65013856,NA,7.58E-43,1.67E-41
PER1,-1.583046003,4.766578886,NA,7.62E-43,1.68E-41
AC009831.1,-1.165903805,-0.701503251,NA,8.89E-43,1.95E-41
TMEM155,-2.276308934,-2.364424164,NA,9.41E-43,2.07E-41
ARRB1,-1.090674533,5.276563487,NA,1.04E-42,2.28E-41
AL359711.2,-1.59100652,-1.335273023,NA,1.09E-42,2.38E-41
PTCHD1,-3.144799025,0.18363414,NA,1.09E-42,2.38E-41
FAM162A,-1.107305097,6.234185842,NA,1.09E-42,2.40E-41
AC007495.1,-2.572098846,-2.796596414,NA,1.14E-42,2.49E-41
FAM107B,-1.511759499,5.647424456,NA,1.25E-42,2.73E-41
CYP2B7P,-2.607013677,0.152036625,NA,1.26E-42,2.74E-41
PPP1R16B,-1.764536675,3.130053578,NA,1.32E-42,2.87E-41
ABCA6,-2.433006419,0.806969652,NA,1.34E-42,2.91E-41
PDGFD,-1.644138719,2.640783968,NA,1.34E-42,2.92E-41
CFP,-1.752558473,1.173389335,NA,1.39E-42,3.01E-41
SLC22A17,-1.758267863,2.599169874,NA,1.50E-42,3.26E-41
CROT,-1.246326629,3.890509614,NA,1.73E-42,3.75E-41
GPR37L1,-1.624049163,1.42144548,NA,1.83E-42,3.97E-41
SCUBE1,-1.945297624,1.928110072,NA,2.13E-42,4.61E-41
ZNF671,-1.56134808,0.883742756,NA,2.48E-42,5.36E-41
PARM1,-1.564615878,7.628160461,NA,2.50E-42,5.40E-41
CACNA2D1,-2.094574483,2.423770009,NA,2.58E-42,5.57E-41
TP73-AS1,-1.673785494,2.037424237,NA,2.66E-42,5.75E-41
CASP5,-2.105465154,2.906495495,NA,2.72E-42,5.86E-41
OLFML2A,-1.475427013,4.23094981,NA,2.97E-42,6.40E-41
RELN,-2.665174928,1.08446404,NA,3.31E-42,7.10E-41
LRRC75A,-1.21448138,4.634398317,NA,3.69E-42,7.91E-41
ALDOB,-3.111171019,6.153003295,NA,3.75E-42,8.03E-41
AL162424.1,-2.154145266,-3.063814157,NA,4.58E-42,9.79E-41
CMBL,-1.738323073,6.427735647,NA,4.65E-42,9.93E-41
TDRD10,-1.707174651,-1.48901438,NA,4.73E-42,1.01E-40
AP003071.4,-2.320237094,-0.719491528,NA,4.96E-42,1.06E-40
ROPN1,-3.23014677,-2.99551054,NA,5.26E-42,1.12E-40
KRT9,-3.010275931,-2.924891878,NA,5.63E-42,1.20E-40
NBEA,-2.407936107,1.81799055,NA,5.71E-42,1.21E-40
CACNA1H,-1.931437153,4.585068752,NA,5.97E-42,1.27E-40
OSTN-AS1,-2.842166844,-3.324885988,NA,7.24E-42,1.54E-40
FAM13B,-1.069831125,4.243476539,NA,7.63E-42,1.62E-40
IGHV3OR16-6,-3.071036685,-1.892987335,NA,7.73E-42,1.64E-40
ZNF582-AS1,-1.784373459,-1.303597477,NA,7.95E-42,1.68E-40
GCNT4,-2.16218928,1.123619165,NA,8.53E-42,1.81E-40
HTR3E,-3.307941351,-1.605891305,NA,9.79E-42,2.07E-40
GIMAP8,-1.564437559,2.844379311,NA,1.13E-41,2.39E-40
AQP7,-1.939916526,1.79606963,NA,1.17E-41,2.47E-40
CALD1,-1.940869006,7.833292864,NA,1.24E-41,2.60E-40
LINC01140,-2.007934755,-1.189783346,NA,1.50E-41,3.15E-40
AL034346.1,-2.088122993,-2.537597744,NA,1.55E-41,3.26E-40
CTSS,-1.172793792,8.01225597,NA,1.62E-41,3.41E-40
SCG2,-2.336150119,2.143116698,NA,1.77E-41,3.72E-40
LINC02441,-2.35433767,1.19426225,NA,1.84E-41,3.85E-40
CCL15-CCL14,-2.043234052,-0.306086129,NA,1.96E-41,4.10E-40
PLD5,-3.241622481,-3.038323109,NA,2.17E-41,4.55E-40
MT1E,-2.433766326,5.641374382,NA,2.24E-41,4.69E-40
VPREB3,-2.48685749,-0.161557162,NA,2.43E-41,5.06E-40
AC016596.1,-1.594893692,-2.085778005,NA,2.70E-41,5.63E-40
CNRIP1,-1.475722837,2.27759226,NA,2.73E-41,5.68E-40
SUSD6,-1.015922079,6.163106328,NA,2.74E-41,5.70E-40
AL136309.2,-1.801654612,-2.430316136,NA,2.91E-41,6.06E-40
CD48,-1.862288856,3.249848545,NA,3.07E-41,6.38E-40
SKIDA1,-1.944505741,-1.408680603,NA,3.11E-41,6.47E-40
MYPN,-2.534691047,-0.888943615,NA,3.12E-41,6.47E-40
CD79A,-2.512452916,3.50919521,NA,3.14E-41,6.51E-40
RIMS4,-3.449097572,-1.031425582,NA,3.22E-41,6.66E-40
IGKV1OR2-108,-2.865417792,1.029483257,NA,3.32E-41,6.87E-40
POLD4,-1.094559507,4.766406205,NA,3.55E-41,7.33E-40
SLC4A10,-3.040350043,0.090413408,NA,3.74E-41,7.72E-40
TRIM9,-2.320757632,0.358202805,NA,3.90E-41,8.03E-40
AC119396.1,-2.081930551,-1.118124357,NA,4.00E-41,8.24E-40
EFHC2,-2.413853345,-0.655621232,NA,4.06E-41,8.35E-40
ATL1,-1.281877458,2.547701864,NA,4.07E-41,8.36E-40
RECK,-1.433487198,2.635158602,NA,4.65E-41,9.54E-40
IGKV1-12,-3.126082814,0.144898243,NA,4.66E-41,9.55E-40
SLC44A4,-1.458064395,8.349811918,NA,6.30E-41,1.29E-39
AC015908.2,-2.21981468,-1.720099913,NA,6.64E-41,1.35E-39
SERTAD4-AS1,-1.853268499,0.290191438,NA,8.10E-41,1.65E-39
AC092834.1,-3.415688627,-2.241499814,NA,8.87E-41,1.81E-39
AC024651.1,-3.909220639,-3.348652614,NA,9.29E-41,1.89E-39
U91328.1,-1.151645877,1.387721916,NA,9.64E-41,1.96E-39
MEP1A,-2.319066199,7.163846016,NA,1.08E-40,2.19E-39
TLL1,-2.397686543,-0.05818149,NA,1.08E-40,2.19E-39
AC106881.1,-1.79683231,-2.086580027,NA,1.11E-40,2.25E-39
AC009414.2,-1.335101227,-0.604434449,NA,1.15E-40,2.32E-39
CRHBP,-2.413415338,-1.991212204,NA,1.33E-40,2.70E-39
PCDH10,-2.959653825,-1.694026011,NA,1.36E-40,2.74E-39
NEXN,-2.177161391,3.546702127,NA,1.41E-40,2.84E-39
DLG2,-1.908500761,0.107429467,NA,1.56E-40,3.14E-39
FRMD6-AS2,-3.340023226,-3.386077013,NA,1.63E-40,3.28E-39
LINC02033,-2.161632005,-2.8479237,NA,2.04E-40,4.10E-39
FRMD3,-1.988032153,3.085743461,NA,2.06E-40,4.14E-39
ABCB5,-3.314279091,-1.886543283,NA,2.28E-40,4.57E-39
NAP1L3,-2.076238336,0.419176777,NA,2.64E-40,5.31E-39
ZNF781,-1.760622375,-1.141699457,NA,2.81E-40,5.63E-39
MRVI1,-1.724361107,4.68197805,NA,2.88E-40,5.76E-39
CD101,-1.351824966,1.215721382,NA,4.10E-40,8.19E-39
SLC1A1,-1.839305106,4.422852721,NA,4.36E-40,8.69E-39
AC007541.1,-1.606551827,-1.449732146,NA,4.49E-40,8.94E-39
NWD2,-2.580214475,-0.972342138,NA,4.57E-40,9.11E-39
LINC01975,-2.467819879,-3.103386041,NA,4.99E-40,9.90E-39
TSPYL5,-1.737964623,2.068845341,NA,5.07E-40,1.01E-38
MST1L,-2.281592036,-0.027870323,NA,5.19E-40,1.03E-38
HSPB7,-2.644776578,3.085482787,NA,5.37E-40,1.06E-38
IGHV3OR16-9,-3.009194178,-1.378185453,NA,6.14E-40,1.21E-38
VSIG2,-2.843038677,5.282675383,NA,6.27E-40,1.24E-38
RBM24,-2.275494201,0.673943269,NA,7.19E-40,1.42E-38
HAND1,-4.105919751,1.128517142,NA,7.34E-40,1.44E-38
CCR2,-2.143780068,1.315152367,NA,7.51E-40,1.48E-38
RASGRP2,-1.683242784,1.951346295,NA,8.51E-40,1.67E-38
SIGLEC6,-2.297768611,-1.329995065,NA,9.30E-40,1.82E-38
VCL,-1.099402807,7.523399719,NA,9.87E-40,1.93E-38
CELF4,-2.59136825,-1.637690152,NA,1.01E-39,1.97E-38
SFTA1P,-2.566669844,-2.094691247,NA,1.07E-39,2.09E-38
AC104024.1,-2.580097914,-3.041280245,NA,1.26E-39,2.46E-38
RELL1,-1.537956255,2.136648101,NA,1.51E-39,2.94E-38
RILP,-1.399299045,3.688774825,NA,1.73E-39,3.36E-38
HTR4,-2.803283445,0.175950056,NA,1.92E-39,3.71E-38
LGI4,-2.071223699,2.414134992,NA,1.95E-39,3.78E-38
ADAM33,-2.145889219,2.030836756,NA,2.10E-39,4.06E-38
LGALS9C,-2.647535743,2.305820203,NA,2.14E-39,4.14E-38
NBPF25P,-1.164805499,-0.060521107,NA,2.26E-39,4.36E-38
BDKRB1,-1.615179505,0.999453564,NA,2.29E-39,4.42E-38
ZNF132,-1.147027084,0.912685926,NA,2.39E-39,4.61E-38
PDZK1,-2.322078561,0.682428909,NA,2.41E-39,4.64E-38
IGHV3OR16-7,-3.440504793,-3.236886951,NA,2.45E-39,4.72E-38
PAQR8,-1.432554105,6.56994171,NA,2.58E-39,4.95E-38
C2orf74,-1.949823661,-1.423140559,NA,2.70E-39,5.17E-38
SLC27A6,-2.860968551,-1.935214507,NA,2.76E-39,5.29E-38
FCER2,-3.04299318,-0.177327686,NA,2.85E-39,5.45E-38
ARPP21,-3.237037314,-3.096833971,NA,2.93E-39,5.60E-38
HERC3,-1.051808376,4.570188918,NA,2.96E-39,5.65E-38
JAML,-1.591710425,3.211795499,NA,3.74E-39,7.12E-38
LINC01013,-2.298519582,-2.494436306,NA,3.76E-39,7.17E-38
SESN2,-1.119163751,4.684496136,NA,3.80E-39,7.23E-38
CLECL1,-2.021532179,-1.475180255,NA,4.07E-39,7.73E-38
FABP1,-2.636767414,9.19893114,NA,4.44E-39,8.42E-38
SCRG1,-3.137158019,-0.3048803,NA,4.45E-39,8.44E-38
6-Sep,-1.224421282,4.800507298,NA,4.55E-39,8.61E-38
ISX,-2.242585535,4.776890939,NA,4.96E-39,9.37E-38
SLITRK3,-3.526653704,-1.104263501,NA,5.21E-39,9.83E-38
ST8SIA1,-1.763667387,0.905422411,NA,6.19E-39,1.16E-37
AC243562.2,-2.535623798,-2.496844028,NA,6.22E-39,1.17E-37
AP001972.5,-1.284529471,3.356257197,NA,6.69E-39,1.26E-37
IGFBP6,-1.972412183,3.56061924,NA,6.98E-39,1.31E-37
ITPR1,-1.511933507,3.838743441,NA,7.45E-39,1.40E-37
FNIP2,-1.135212333,5.387674469,NA,8.51E-39,1.59E-37
CDON,-1.607669064,2.452940588,NA,8.71E-39,1.63E-37
ADAMTS8,-2.124479534,1.17047634,NA,8.97E-39,1.68E-37
FAXDC2,-1.778603281,4.099227976,NA,9.77E-39,1.82E-37
NXPE4,-2.87292579,5.357895951,NA,9.90E-39,1.85E-37
AC120049.1,-1.699565914,-1.397701637,NA,1.12E-38,2.08E-37
LINC00582,-2.417776827,-2.620890168,NA,1.14E-38,2.13E-37
LXN,-1.323181725,4.089429547,NA,1.19E-38,2.21E-37
AP002800.1,-2.107084361,-1.209642198,NA,1.19E-38,2.22E-37
NKAPL,-2.124526533,-2.250409303,NA,1.28E-38,2.39E-37
NIM1K,-1.448142903,-1.551479698,NA,1.36E-38,2.52E-37
CORO6,-1.773288609,-0.21280688,NA,1.72E-38,3.19E-37
LINC02057,-2.550513151,-1.636479948,NA,1.75E-38,3.24E-37
HAGLR,-2.212415397,3.642403129,NA,1.77E-38,3.27E-37
TP53I3,-1.105053228,5.058154057,NA,1.88E-38,3.48E-37
BDKRB2,-1.248469556,4.376984764,NA,1.93E-38,3.58E-37
LINC00461,-2.735467066,-2.810372984,NA,2.01E-38,3.72E-37
NAT1,-1.456875847,3.462145441,NA,2.18E-38,4.02E-37
WDR17,-2.716101942,-1.091357963,NA,2.18E-38,4.02E-37
IGSF9,-1.590972696,4.770011477,NA,2.35E-38,4.34E-37
AL391807.1,-2.673655931,-3.194468652,NA,2.38E-38,4.38E-37
RASD2,-1.996940405,3.479271868,NA,2.53E-38,4.65E-37
BMP6,-1.907383528,1.224809146,NA,3.07E-38,5.63E-37
AL365361.1,-2.322578853,0.486342107,NA,3.18E-38,5.83E-37
TMTC1,-1.822310009,3.005146612,NA,3.26E-38,5.98E-37
LRFN5,-2.218760306,-1.071456955,NA,3.38E-38,6.20E-37
CLU,-2.243468187,6.440944745,NA,3.91E-38,7.15E-37
IGHV3-72,-2.927897309,3.153444078,NA,4.31E-38,7.85E-37
GPER1,-2.104489862,1.852861704,NA,4.50E-38,8.19E-37
ITPKB,-1.021544765,4.830221757,NA,5.02E-38,9.14E-37
TRHDE,-2.28828183,1.266933691,NA,5.26E-38,9.56E-37
DDR2,-2.03183421,4.822635033,NA,5.31E-38,9.64E-37
HVCN1,-1.367910047,1.77697957,NA,5.36E-38,9.73E-37
AP000802.1,-2.509554868,-3.638973208,NA,5.59E-38,1.01E-36
SLC25A42,-1.120685665,2.885982803,NA,5.66E-38,1.03E-36
HIF3A,-2.272631874,1.570537541,NA,5.71E-38,1.03E-36
PTP4A1,-1.062345878,7.769184506,NA,5.85E-38,1.06E-36
ST8SIA3,-3.329997771,-2.520435231,NA,6.14E-38,1.11E-36
GHR,-2.252516063,2.078450477,NA,6.88E-38,1.24E-36
VXN,-2.452401579,-2.231681216,NA,7.59E-38,1.37E-36
AC005674.1,-2.157166117,-2.906751166,NA,7.62E-38,1.37E-36
ACO2,-1.068384502,7.027928039,NA,8.33E-38,1.50E-36
CHRM2,-3.756861148,1.321332217,NA,8.69E-38,1.56E-36
MYH15,-1.756359633,0.686958925,NA,1.08E-37,1.93E-36
MAPT,-2.372637297,1.245182319,NA,1.16E-37,2.08E-36
ZNF677,-1.713989469,0.758384798,NA,1.26E-37,2.25E-36
CFD,-2.348874955,5.01530873,NA,1.33E-37,2.37E-36
FHL5,-1.744857152,0.021406828,NA,1.46E-37,2.61E-36
FGF10,-2.288952995,-0.176155759,NA,1.47E-37,2.61E-36
LPP,-1.406990283,7.144310351,NA,1.51E-37,2.69E-36
IL6ST,-1.240898734,6.094641468,NA,1.64E-37,2.92E-36
CGRRF1,-1.116065663,2.969893832,NA,1.72E-37,3.06E-36
GOLM1,-1.254046398,8.223543516,NA,1.76E-37,3.12E-36
GIMAP6,-1.508758041,3.519916627,NA,1.86E-37,3.30E-36
SCGB2A1,-2.750431109,-0.067183643,NA,2.13E-37,3.77E-36
CD27,-1.886279536,1.944861855,NA,2.28E-37,4.03E-36
PRR5L,-1.075378122,5.648604272,NA,2.34E-37,4.14E-36
DMPK,-1.349114955,4.907760914,NA,2.48E-37,4.37E-36
ZMAT4,-3.031660757,-2.821151545,NA,2.55E-37,4.50E-36
CLDN7,-1.114224585,8.458554205,NA,2.85E-37,5.01E-36
VIPR1,-1.557994557,5.414258549,NA,2.85E-37,5.02E-36
SPECC1,-1.211648304,4.904574603,NA,2.94E-37,5.18E-36
SNX24,-1.359130467,2.592534533,NA,3.28E-37,5.76E-36
RBMS3-AS3,-2.591437029,-3.315018907,NA,3.38E-37,5.93E-36
LINC00955,-3.349285502,-2.074550797,NA,3.90E-37,6.84E-36
AC008878.3,-2.940197813,-3.402566732,NA,4.10E-37,7.17E-36
CDHR2,-2.164132752,5.911395451,NA,4.39E-37,7.67E-36
VDR,-1.090162105,6.779880633,NA,4.46E-37,7.78E-36
PLXNA2,-1.12121631,5.996155142,NA,4.60E-37,8.02E-36
AC005180.2,-2.845254426,-1.933971865,NA,5.20E-37,9.06E-36
LINC01133,-1.667878059,3.935022437,NA,5.78E-37,1.01E-35
GSG1L,-2.805298797,-2.807909133,NA,5.79E-37,1.01E-35
LCN6,-2.793128339,-2.519241539,NA,6.83E-37,1.19E-35
STK17B,-1.133398243,5.371553731,NA,7.41E-37,1.29E-35
CXCR5,-2.795352231,-2.172028557,NA,7.90E-37,1.37E-35
NEU4,-2.188409517,3.759670552,NA,8.84E-37,1.53E-35
SH3BGRL2,-1.034036498,6.983849122,NA,9.23E-37,1.59E-35
STON1,-1.876711314,2.636766282,NA,9.25E-37,1.60E-35
SFRP5,-3.471466797,-0.081247555,NA,9.25E-37,1.60E-35
LINC01624,-2.249054846,-2.997470326,NA,9.71E-37,1.67E-35
SDHD,-1.119883016,6.34150778,NA,9.95E-37,1.71E-35
SEC1P,-1.801625704,-1.777332399,NA,1.00E-36,1.73E-35
KCNA3,-2.202911174,-0.335698051,NA,1.15E-36,1.97E-35
RPH3A,-2.45555564,-2.4267463,NA,1.15E-36,1.98E-35
COL19A1,-2.80780315,-2.375565066,NA,1.16E-36,1.99E-35
COX7A1,-1.600609362,2.256795416,NA,1.20E-36,2.06E-35
