"","logFC","logCPM","PValue","FDR"
"AP002800.1",-2.10708436067874,-1.209642198197,1.1903906218248e-38,2.21614678345969e-37
"NKAPL",-2.12452653289302,-2.25040930253987,1.28263293777916e-38,2.38646775048628e-37
"NIM1K",-1.44814290310854,-1.55147969849787,1.3552261160624e-38,2.52005054059796e-37
"CORO6",-1.77328860866072,-0.212806879950251,1.71906539664709e-38,3.1872319880441e-37
"LINC02057",-2.55051315061079,-1.63647994750881,1.74758598422894e-38,3.23821020526363e-37
"HAGLR",-2.21241539723161,3.64240312885208,1.76596243951025e-38,3.27034298660301e-37
"TP53I3",-1.10505322827095,5.05815405673988,1.87942309651688e-38,3.47841909128635e-37
"BDKRB2",-1.24846955611654,4.37698476370893,1.93369530997821e-38,3.57677025340408e-37
"LINC00461",-2.73546706643075,-2.81037298448148,2.0123581321061e-38,3.71831547908501e-37
"NAT1",-1.4568758471523,3.46214544149589,2.17591151812161e-38,4.01539559532804e-37
"WDR17",-2.71610194162083,-1.09135796306615,2.17949829690521e-38,4.01966664881065e-37
"IGSF9",-1.59097269574401,4.77001147659181,2.35359619414832e-38,4.33569472663137e-37
"AL391807.1",-2.6736559313789,-3.1944686515288,2.3771794780865e-38,4.37658690274981e-37
"RASD2",-1.99694040471026,3.47927186810789,2.5282260337136e-38,4.6519653513753e-37
"BMP6",-1.90738352756776,1.22480914595739,3.06929072755882e-38,5.63440452967843e-37
"AL365361.1",-2.32257885323896,0.486342106899195,3.17867074585944e-38,5.83180864540866e-37
"TMTC1",-1.82231000941905,3.00514661234407,3.25875244031384e-38,5.97526209209722e-37
"LRFN5",-2.21876030619419,-1.07145695516704,3.38101813417692e-38,6.19585301119788e-37
"CLU",-2.24346818689118,6.44094474495453,3.91282248946577e-38,7.1455376248377e-37
"IGHV3-72",-2.9278973087118,3.15344407771934,4.30787682925795e-38,7.85336137719253e-37
"GPER1",-2.10448986206379,1.85286170355672,4.49729510515982e-38,8.18922445287114e-37
"ITPKB",-1.02154476463234,4.83022175710442,5.02320371202391e-38,9.13633131110946e-37
"TRHDE",-2.28828182962804,1.26693369060192,5.26270305229539e-38,9.56093027781301e-37
"DDR2",-2.0318342103522,4.82263503339013,5.31107199363539e-38,9.6432584767197e-37
"HVCN1",-1.36791004674675,1.77697956976525,5.36070584779763e-38,9.7277874698145e-37
"AP000802.1",-2.50955486770965,-3.6389732083034,5.58526273658458e-38,1.01294607139447e-36
"SLC25A42",-1.12068566477692,2.88598280326041,5.66374551057267e-38,1.02659042980793e-36
"HIF3A",-2.27263187439006,1.57053754123346,5.71126528523836e-38,1.03461011557647e-36
"PTP4A1",-1.06234587836777,7.76918450635215,5.84516600103049e-38,1.05825976773958e-36
"ST8SIA3",-3.32999777139693,-2.52043523094153,6.13583428294932e-38,1.11024863975497e-36
"GHR",-2.252516062956,2.07845047652885,6.87627435013691e-38,1.24209339933605e-36
"VXN",-2.45240157853167,-2.23168121584068,7.58748009235523e-38,1.36821494610604e-36
"AC005674.1",-2.15716611724766,-2.90675116582536,7.62260968585356e-38,1.37376558930503e-36
"ACO2",-1.06838450161048,7.02792803930865,8.32734081672066e-38,1.49735730462525e-36
"CHRM2",-3.75686114814788,1.32133221694419,8.69435961192572e-38,1.56157420818402e-36
"MYH15",-1.75635963289325,0.686958924706933,1.0778370447085e-37,1.93148642957888e-36
"MAPT",-2.3726372974467,1.24518231926041,1.16228527879451e-37,2.07927966098272e-36
"ZNF677",-1.71398946943412,0.758384798482652,1.25662063862881e-37,2.24676943045841e-36
"CFD",-2.34887495485039,5.01530872976709,1.32971712730344e-37,2.37477406460698e-36
"FHL5",-1.74485715176695,0.0214068277259187,1.46038165453284e-37,2.60518563589249e-36
"FGF10",-2.28895299496906,-0.17615575911131,1.465817820262e-37,2.61340758439826e-36
"LPP",-1.40699028333356,7.14431035147841,1.5076368105563e-37,2.68645063485082e-36
"IL6ST",-1.24089873369664,6.09464146822416,1.64035014546855e-37,2.91963843074862e-36
"CGRRF1",-1.11606566263998,2.96989383206206,1.71993014838568e-37,3.05955817443404e-36
"GOLM1",-1.25404639761126,8.22354351614737,1.75734932934618e-37,3.12436338559561e-36
"GIMAP6",-1.50875804066894,3.5199166266642,1.86019342155062e-37,3.30349020612977e-36
"SCGB2A1",-2.75043110946282,-0.0671836425026294,2.12974965891878e-37,3.77370616793164e-36
