"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GUCA2B",-4.81528431399567,7.67198225691069,-15.0610237462123,1.43961570339298e-10,6.22282222517774e-07,14.464161410803
"C1orf115",-2.41988295208763,7.01774416057074,-14.5995717191653,2.24803241981956e-10,6.23031969074134e-07,14.0527478346667
"SLC17A4",-2.66800625370211,5.88503474208376,-14.3031059300669,3.01300758702731e-10,7.09412636365579e-07,13.7807698508903
"CACNA1A",-1.12136995686112,4.8441657409875,-13.1345753077943,1.00843790332873e-09,1.05408165320875e-06,12.6463573412528
"DOCK10",-1.34723652984633,6.02596518853769,-13.0671209729878,1.08426858911584e-09,1.05408165320875e-06,12.5776661914065
"ABCA8",-1.7771127543286,4.45560651181885,-12.9366916964542,1.24857084795869e-09,1.05408165320875e-06,12.4438040970822
"RNF152",-1.10306787362416,4.37147737083366,-12.8612894017152,1.35542565942838e-09,1.05408165320875e-06,12.3657849459815
"ABCG2",-2.39181692369229,5.57022878415508,-12.6833922561301,1.6478448390552e-09,1.14958538475718e-06,12.1798525777419
"AMPD1",-1.97673789979937,5.05987072679239,-12.242931159345,2.69981851763573e-09,1.37442652968072e-06,11.7079619905404
"UGDH",-1.19287779927984,8.17288144614585,-12.0283185137271,3.45249879089389e-09,1.5861284689092e-06,11.4718998074782
"CDKN2B",-1.89734517398304,5.88133992258438,-11.8417685621906,4.2879195741223e-09,1.92302983567066e-06,11.2633381266092
"SLC4A4",-2.12305962434138,5.23936777818912,-11.793251492981,4.53859650408656e-09,1.98811636630173e-06,11.2085748127351
"NR5A2",-1.44678447153212,4.8112916713629,-11.7386051568122,4.83963912643465e-09,2.05904774560937e-06,11.146632605471
"EPB41L3",-2.0841153600952,5.18846375708241,-11.6131931963971,5.61337589829969e-09,2.24964996639091e-06,11.0034245372894
"BCAR3",-1.51609157708091,5.61894947642521,-11.3859952787379,7.36814921845779e-09,2.61861242790322e-06,10.7401980260004
"RILP",-1.19481302741837,6.62454185185084,-11.1885682679484,9.36612555423259e-09,3.04173001619871e-06,10.5074183444832
"ADH1B",-2.95498263185414,6.1262580272951,-11.1513851992707,9.80277640195091e-09,3.12957790351097e-06,10.4631489668394
"NDN",-1.7571696045384,6.39509275923164,-11.1277114156828,1.00919672433292e-08,3.16820491658916e-06,10.4348921002271
"SNX24",-1.09348865286565,5.42463965132285,-11.083652930375,1.06544722002926e-08,3.2899612846674e-06,10.3821558204632
"PDE9A",-2.50389980756536,7.39888902442236,-10.7980477443028,1.52073537585577e-08,4.02087097817893e-06,10.0355557483469
"FXYD1",-1.00502201268833,5.21604600123483,-10.756581526941,1.6023393874194e-08,4.1344746166345e-06,9.98454155731715
"ENTPD5",-1.77776610610815,6.03418096395555,-10.7021361657275,1.71658359907709e-08,4.31176503871833e-06,9.91728940240917
"CPM",-1.91716811723865,5.23003732522714,-10.7020222431478,1.71683148175767e-08,4.31176503871833e-06,9.91714835984045
"PLPP1",-1.57724026503801,8.80133644153635,-10.67226467868,1.78289519239793e-08,4.40079198302903e-06,9.88026051489019
"TBC1D9",-1.13042347955127,5.69882880194909,-10.5843535065378,1.99424572966269e-08,4.7548876663198e-06,9.77074358512921
"LIFR",-1.26013085977765,4.25054665262657,-10.5351763429648,2.12388897205261e-08,4.98961771957722e-06,9.7091254398628
"SMPDL3A",-2.09224679218493,9.01944023099354,-10.3866674241489,2.57239705222653e-08,5.700431867734e-06,9.52148524927725
"RUNDC3B",-2.09056051140116,5.53811447392857,-10.3355717223635,2.74901672826272e-08,5.97795406304156e-06,9.45637894861242
"ARHGAP15",-1.32382554815984,5.34429473824839,-10.2888746029317,2.92166086808614e-08,6.11471156791894e-06,9.39663017124605
"SGK2",-1.6828916181291,5.4212860794967,-10.2280619538463,3.1638514022931e-08,6.40798978640784e-06,9.31846476349546
