,logFC,logCPM,insert,PValue,FDR
EVA1A,3.791754884,3.249897493,NA,5.80E-57,2.15E-55
HJURP,1.689017971,4.70401107,NA,1.24E-56,4.58E-55
COL11A1,6.328993813,5.355361435,NA,1.79E-56,6.55E-55
CDC25B,2.223167733,7.392585141,NA,2.16E-56,7.89E-55
TTC26,1.66192198,3.266686643,NA,4.09E-56,1.48E-54
CFAP157,1.960539107,1.79948469,NA,8.28E-56,2.99E-54
LINC02418,8.169594032,4.223004282,NA,9.32E-56,3.36E-54
CASC19,4.277064511,0.403388518,NA,1.73E-55,6.15E-54
RUVBL1,1.368011381,6.19441084,NA,1.82E-55,6.46E-54
XPO5,1.268800904,6.326586798,NA,2.16E-55,7.66E-54
CD3EAP,1.803639686,3.219839064,NA,2.49E-55,8.81E-54
ANLN,2.044399726,5.847429504,NA,8.93E-55,3.12E-53
BYSL,1.55020516,5.118703501,NA,1.32E-54,4.58E-53
SKA3,2.083966814,4.744023004,NA,1.87E-54,6.46E-53
TESC,4.627572611,5.860743663,NA,3.10E-54,1.07E-52
MCIDAS,3.942244187,0.1522036,NA,3.15E-54,1.08E-52
CST1,8.326290748,4.847873439,NA,3.35E-54,1.15E-52
APLN,3.23507567,3.305008278,NA,2.96E-53,9.90E-52
UBE2C,2.124936159,6.502777585,NA,4.23E-53,1.40E-51
COL10A1,7.814766724,4.715644653,NA,4.65E-53,1.54E-51
FAM89A,1.772462646,3.55314626,NA,4.80E-53,1.59E-51
LINC00659,6.064296635,0.573790919,NA,4.86E-53,1.61E-51
ATP11A,2.205906777,6.580376478,NA,5.18E-53,1.71E-51
ACAN,3.256260213,3.330716078,NA,5.24E-53,1.73E-51
SPERT,7.013434216,-0.152736022,NA,5.51E-53,1.81E-51
AL109615.3,4.485398958,1.071341419,NA,1.13E-52,3.68E-51
TROAP,1.945976525,4.741003127,NA,1.64E-52,5.28E-51
CNTD2,4.861633455,2.388282744,NA,2.14E-52,6.86E-51
KAT2A,1.587151769,6.520883694,NA,3.08E-52,9.83E-51
IGFL4,5.539084138,1.283286127,NA,3.26E-52,1.04E-50
CCND1,1.65488836,7.867973687,NA,3.99E-52,1.27E-50
LEMD1,6.10882826,2.019596048,NA,4.60E-52,1.45E-50
SOX9,1.915325419,7.963748586,NA,7.39E-52,2.31E-50
IQGAP3,1.925963981,6.135782227,NA,1.10E-51,3.43E-50
ATG9B,3.550749902,2.591533704,NA,1.21E-51,3.75E-50
C2orf70,3.314643726,2.44757129,NA,1.28E-51,3.97E-50
TPX2,1.885280995,7.07516083,NA,1.52E-51,4.68E-50
RBM28,1.119851838,5.326727545,NA,1.94E-51,5.96E-50
MMP7,7.031240911,6.092496117,NA,1.98E-51,6.09E-50
RFC3,1.805383092,5.232103449,NA,3.03E-51,9.23E-50
PDCD2L,1.524084781,3.516158159,NA,3.44E-51,1.04E-49
MET,1.798449163,7.372464629,NA,3.66E-51,1.11E-49
SMOX,2.336426245,4.697218564,NA,3.76E-51,1.14E-49
CSE1L,1.578763374,7.552545275,NA,5.10E-51,1.54E-49
EGFL6,3.490249594,1.908048773,NA,5.11E-51,1.54E-49
SOX4,1.719757134,7.342513613,NA,7.19E-51,2.16E-49
KLK6,9.320363635,4.816795689,NA,1.13E-50,3.36E-49
NOP2,1.441831362,6.114061809,NA,1.30E-50,3.88E-49
QSOX2,1.282811033,5.079949412,NA,1.30E-50,3.88E-49
SNHG1,1.73585737,5.683043169,NA,2.27E-50,6.70E-49
S100A11,1.894074885,8.757639451,NA,3.70E-50,1.08E-48
B3GNTL1,1.546572179,2.939160225,NA,4.44E-50,1.30E-48
MMP11,4.458532319,6.938542961,NA,5.93E-50,1.72E-48
PRR7,3.615055285,3.596422058,NA,5.98E-50,1.73E-48
CCNO,3.048173712,3.341559498,NA,6.19E-50,1.79E-48
NKD2,4.376830355,4.766658535,NA,9.51E-50,2.74E-48
CYP27B1,1.946573799,2.069464995,NA,1.93E-49,5.51E-48
FAM222A-AS1,3.548374525,0.137711587,NA,2.38E-49,6.75E-48
PERM1,3.12551495,0.710988722,NA,3.04E-49,8.58E-48
SNTB1,2.265692863,6.023603365,NA,4.54E-49,1.28E-47
ZMYND19,1.427009319,4.856915216,NA,4.57E-49,1.29E-47
TOMM34,1.838622179,6.608301955,NA,5.06E-49,1.42E-47
GTPBP4,1.093503464,6.172466649,NA,5.45E-49,1.52E-47
EXOSC2,1.105803224,5.078684854,NA,6.93E-49,1.94E-47
GABRD,2.880989,0.662556225,NA,7.34E-49,2.05E-47
NKRF,1.420978493,4.197349457,NA,8.83E-49,2.46E-47
RTKN,1.234775708,6.330555008,NA,9.37E-49,2.60E-47
AC123023.1,5.700074671,0.015489756,NA,9.59E-49,2.66E-47
CBFB,1.306723421,6.023637556,NA,1.10E-48,3.05E-47
TMEM41A,1.04358254,5.391713327,NA,1.38E-48,3.79E-47
TRIM29,4.011089658,6.525021941,NA,1.64E-48,4.50E-47
TNFRSF12A,2.23023452,5.850488708,NA,1.86E-48,5.11E-47
TGIF2,1.907421028,5.398816733,NA,1.99E-48,5.45E-47
TEX10,1.004996676,5.142915296,NA,2.03E-48,5.58E-47
DUSP14,1.634246583,3.969535125,NA,2.11E-48,5.77E-47
AC007128.2,4.88855195,-1.651301648,NA,2.19E-48,5.98E-47
ANKRD13B,2.407474251,4.211639143,NA,2.87E-48,7.82E-47
POU5F1B,4.700956357,3.109791818,NA,2.93E-48,8.00E-47
AC007099.1,6.929135074,-0.13404957,NA,3.15E-48,8.58E-47
CBX4,1.602814081,5.397063193,NA,3.51E-48,9.55E-47
ZNF121,1.630534924,5.393590962,NA,3.64E-48,9.89E-47
PLUT,5.112178398,-0.885278596,NA,4.05E-48,1.10E-46
KIF18B,1.810852044,4.578635951,NA,4.24E-48,1.15E-46
STPG4,5.01671671,0.505419576,NA,1.00E-47,2.69E-46
STRA6,5.762422245,3.773978526,NA,1.13E-47,3.01E-46
DSCC1,1.868645496,3.923015131,NA,1.20E-47,3.19E-46
SNHG16,1.275188616,4.824488307,NA,1.33E-47,3.55E-46
PAQR4,1.832869819,5.062212578,NA,2.06E-47,5.47E-46
VPS9D1-AS1,2.635843185,3.723665384,NA,4.60E-47,1.20E-45
METTL1,1.368601094,4.549450457,NA,4.61E-47,1.20E-45
UTP4,1.158677117,6.012773648,NA,4.97E-47,1.30E-45
EZH2,1.276848905,5.192309509,NA,5.87E-47,1.53E-45
MACC1,2.292562002,6.14258542,NA,7.29E-47,1.89E-45
ADAMTS12,3.373469625,4.463602063,NA,8.11E-47,2.10E-45
FEZF1-AS1,8.370529214,2.239328797,NA,8.88E-47,2.29E-45
LINC01605,3.206849224,1.37868866,NA,1.13E-46,2.90E-45
GRHL3,3.958784049,2.47911936,NA,1.21E-46,3.11E-45
WDR66,2.570196326,1.622001609,NA,1.25E-46,3.19E-45
ARNTL2,2.223143434,4.745739278,NA,1.51E-46,3.84E-45
PSAT1,2.733003853,5.942813112,NA,1.60E-46,4.09E-45
KRT23,7.373311361,6.247423159,NA,1.78E-46,4.52E-45
LRRC8E,2.427547633,0.235319948,NA,1.83E-46,4.65E-45
CCT6A,1.150970754,8.177653203,NA,1.91E-46,4.84E-45
DDN-AS1,3.184344993,0.248391828,NA,1.99E-46,5.04E-45
DCUN1D5,1.397937188,4.824811585,NA,2.04E-46,5.17E-45
FXYD5,2.114477707,6.914052028,NA,2.59E-46,6.54E-45
KLHL35,3.848199158,2.744838233,NA,2.68E-46,6.76E-45
FBXO41,2.043895289,4.442365595,NA,2.70E-46,6.79E-45
CMSS1,1.444074497,4.812311252,NA,3.16E-46,7.96E-45
GRAMD1A,1.616525575,6.455436058,NA,3.30E-46,8.29E-45
FTSJ1,1.210460892,5.652662093,NA,3.34E-46,8.39E-45
PABPC1L,3.146172896,4.832751883,NA,4.29E-46,1.08E-44
PPAT,1.543305495,4.707928235,NA,4.95E-46,1.24E-44
DBNDD1,2.484720434,4.639912535,NA,5.41E-46,1.35E-44
WDR43,1.175549895,6.222042488,NA,5.99E-46,1.49E-44
MAPK15,4.254345751,2.83233244,NA,8.10E-46,2.02E-44
ASCL2,4.069640611,6.974138229,NA,9.02E-46,2.24E-44
EME1,1.711929672,2.223515018,NA,1.00E-45,2.49E-44
LINC00460,6.667897335,1.017280044,NA,1.32E-45,3.27E-44
CTHRC1,3.779662398,4.94847312,NA,1.39E-45,3.43E-44
C2CD4A,4.274757388,4.685749519,NA,1.57E-45,3.87E-44
TTLL4,1.166821995,5.149454931,NA,1.74E-45,4.27E-44
SNHG17,2.203827495,5.67721131,NA,2.75E-45,6.73E-44
SMKR1,3.973214026,0.955457067,NA,2.76E-45,6.74E-44
CELSR3,2.750501025,4.558317401,NA,3.18E-45,7.75E-44
DDX56,1.091418838,6.599896576,NA,4.03E-45,9.79E-44
MSX2,4.662879051,3.786735129,NA,4.04E-45,9.80E-44
MYC,1.958827785,8.216228872,NA,4.04E-45,9.80E-44
ENTR1,1.217626934,5.762200302,NA,4.86E-45,1.18E-43
LINC01977,3.889994983,-0.419585873,NA,4.95E-45,1.20E-43
RPGRIP1L,1.262854528,3.29115242,NA,4.98E-45,1.20E-43
SCLY,1.433557475,2.43076146,NA,5.93E-45,1.43E-43
ACTR3B,1.280914025,3.468817094,NA,7.99E-45,1.91E-43
AC005089.1,4.312050984,-0.149244693,NA,1.09E-44,2.60E-43
CST2,6.14539679,0.903200525,NA,1.21E-44,2.87E-43
DDX55,1.096898217,4.626879339,NA,1.48E-44,3.49E-43
PYCR1,1.777671665,7.002800994,NA,1.57E-44,3.71E-43
ZSWIM4,1.458020244,4.297541195,NA,1.70E-44,4.01E-43
RNF183,3.361529954,2.414241306,NA,2.94E-44,6.90E-43
DDIAS,1.903517074,3.31943452,NA,3.37E-44,7.88E-43
BTBD16,3.511812751,0.416792143,NA,3.43E-44,8.01E-43
SFTA2,7.108826769,1.663060716,NA,3.79E-44,8.83E-43
GARS,1.224680718,7.450543858,NA,4.16E-44,9.67E-43
AC055717.2,7.33386352,-0.206522176,NA,4.79E-44,1.11E-42
ZNF692,1.637450512,4.61806198,NA,4.81E-44,1.11E-42
WNT3,2.42967952,1.893136834,NA,5.16E-44,1.20E-42
IARS,1.097230578,7.525483079,NA,6.88E-44,1.59E-42
XPOT,1.342883737,6.838888914,NA,7.68E-44,1.77E-42
CCDC78,3.610261281,1.8466821,NA,8.50E-44,1.96E-42
RRP12,1.382611533,5.98919421,NA,8.54E-44,1.96E-42
KCNJ14,1.993161327,1.409472574,NA,9.01E-44,2.07E-42
AL590708.1,3.218546304,-0.086358526,NA,9.06E-44,2.08E-42
HAGHL,3.56038387,3.55022308,NA,9.15E-44,2.10E-42
ADAT2,1.523594862,4.051262332,NA,9.45E-44,2.16E-42
TCF7,1.978769644,5.832919186,NA,1.07E-43,2.45E-42
CAD,1.435748564,6.730902461,NA,1.24E-43,2.83E-42
PUS1,1.576516406,5.624314719,NA,1.55E-43,3.53E-42
MCM10,1.697715395,3.797026812,NA,1.71E-43,3.88E-42
TNS4,3.413638349,7.073306626,NA,1.77E-43,4.01E-42
NCAPG2,1.29296054,5.436876372,NA,1.82E-43,4.13E-42
AL391845.2,4.724681712,-1.384847222,NA,1.86E-43,4.21E-42
FOXP4-AS1,2.387427736,1.340735597,NA,1.94E-43,4.38E-42
UCN2,4.471634469,-0.615212038,NA,2.14E-43,4.83E-42
SLC4A11,4.102945129,3.150915915,NA,2.22E-43,5.00E-42
PRELID3A,1.901519238,1.84035262,NA,2.30E-43,5.17E-42
POLR1C,1.304578161,5.409936892,NA,2.62E-43,5.87E-42
TMEM147-AS1,1.829115945,3.370809144,NA,2.69E-43,6.03E-42
MEX3A,2.902124301,4.059571496,NA,2.84E-43,6.36E-42
SPRY4-AS1,2.970182743,-1.264992008,NA,4.67E-43,1.04E-41
MFSD12,1.607759248,6.075695433,NA,4.74E-43,1.05E-41
WDR75,1.094091963,5.571694003,NA,5.90E-43,1.31E-41
TIMP1,2.007043368,8.219233013,NA,5.92E-43,1.31E-41
C5orf34,1.511684827,2.082409484,NA,6.56E-43,1.45E-41
SAPCD2,2.024268126,6.286044067,NA,6.73E-43,1.49E-41
TLX1,4.067236354,1.904453523,NA,6.80E-43,1.50E-41
OXTR,2.774801224,1.245799117,NA,8.40E-43,1.85E-41
KLC3,5.672727899,0.138836703,NA,8.53E-43,1.88E-41
ECT2,1.777808,6.492354018,NA,8.69E-43,1.91E-41
