,logFC,logCPM,insert,PValue,FDR
AC009121.1,1.737014416,-1.624702876,NA,2.30E-18,1.48E-17
FCHO1,1.541475076,4.195444984,NA,2.30E-18,1.48E-17
EVX1-AS,4.306149615,-0.653487855,NA,2.36E-18,1.52E-17
CNIH3,1.323523468,1.7579561,NA,2.58E-18,1.65E-17
GSTP1,1.211482925,9.342622983,NA,2.67E-18,1.71E-17
GRK1,3.456521699,-0.932373531,NA,2.67E-18,1.71E-17
LRRC43,1.967459312,-0.286282046,NA,2.71E-18,1.74E-17
RPL13P2,3.959856181,0.380788764,NA,2.78E-18,1.78E-17
DSG3,4.412187274,3.831985829,NA,2.78E-18,1.78E-17
HNRNPUP1,2.798977106,-0.611440299,NA,2.82E-18,1.81E-17
ADAMTSL5,1.310877975,2.87802234,NA,2.83E-18,1.81E-17
AC093908.1,2.762007276,0.857442437,NA,2.90E-18,1.86E-17
CITED1,2.664020141,0.718301692,NA,2.96E-18,1.89E-17
PPM1N,1.601222201,1.251189922,NA,2.98E-18,1.90E-17
AC092375.1,2.422041886,-2.182064001,NA,2.99E-18,1.91E-17
TSTA3,1.238618647,7.600703154,NA,3.02E-18,1.93E-17
AC017083.1,1.532503285,-1.579368194,NA,3.08E-18,1.97E-17
HMGB1P8,1.980587917,-0.982843396,NA,3.10E-18,1.98E-17
ADRM1,1.038720729,7.452715692,NA,3.20E-18,2.04E-17
SNORA26,2.226970992,-0.812503383,NA,3.34E-18,2.13E-17
AL359075.1,3.038396219,-2.007795196,NA,3.46E-18,2.20E-17
AP005271.1,4.050990377,-1.696029142,NA,3.55E-18,2.26E-17
FAM111B,1.12333564,4.486962355,NA,3.85E-18,2.45E-17
AF064858.3,3.704474473,1.467047205,NA,3.87E-18,2.46E-17
AC011511.3,3.403937866,-2.403812912,NA,4.02E-18,2.56E-17
AC007773.1,1.817954009,-0.675995546,NA,4.14E-18,2.63E-17
RBBP8NL,1.385490691,4.097322831,NA,4.17E-18,2.65E-17
MUC6,6.801277218,4.334560772,NA,4.26E-18,2.71E-17
GJB5,4.278118166,2.098683631,NA,4.32E-18,2.74E-17
RF00100,8.081119885,5.888441734,NA,4.44E-18,2.82E-17
DDX12P,1.266197724,1.822609322,NA,4.47E-18,2.84E-17
TMEM67,1.093878617,2.902210477,NA,4.59E-18,2.91E-17
AC078820.1,3.623140346,-2.574085137,NA,4.99E-18,3.16E-17
WNT8B,2.359440548,-1.847933167,NA,5.06E-18,3.20E-17
CCAT2,4.138416067,-1.937284906,NA,5.15E-18,3.26E-17
RDH16,2.783471485,0.142970513,NA,5.25E-18,3.32E-17
LINC01704,2.828729646,-3.522119785,NA,5.26E-18,3.32E-17
KIF21B,1.17959936,5.155330476,NA,5.27E-18,3.32E-17
SFRP4,3.111629718,5.465951727,NA,5.43E-18,3.43E-17
ERICH2,2.34817285,-0.072257111,NA,5.48E-18,3.45E-17
AL161772.1,1.404400275,2.126821957,NA,5.52E-18,3.48E-17
AC092045.1,1.68463666,-2.039228825,NA,5.52E-18,3.48E-17
NT5DC4,2.428948755,-0.71989444,NA,5.55E-18,3.50E-17
TPRXL,3.984711302,0.478129988,NA,5.60E-18,3.53E-17
AL049539.1,2.974081422,-1.986083399,NA,5.61E-18,3.54E-17
LINC02331,4.155478233,-2.596248883,NA,5.62E-18,3.54E-17
NME2P1,1.729827658,-0.030110358,NA,5.72E-18,3.60E-17
FAM84B,1.022133625,6.315119634,NA,5.73E-18,3.61E-17
KCNN4,1.61932693,6.691482661,NA,5.82E-18,3.66E-17
LINC01929,3.221131397,-1.545025502,NA,5.88E-18,3.70E-17
AC104035.1,4.97205501,-0.832354076,NA,5.92E-18,3.72E-17
NDUFAF8,1.054189457,4.51356127,NA,5.95E-18,3.74E-17
DUSP15,2.429436213,1.666568487,NA,5.98E-18,3.76E-17
CADPS,2.214366794,4.468459768,NA,6.20E-18,3.89E-17
H19,3.944133123,5.777808774,NA,6.24E-18,3.92E-17
AC016773.1,1.394073427,-0.423838966,NA,6.24E-18,3.92E-17
MYBPHL,5.609410327,-0.419496939,NA,6.41E-18,4.02E-17
TNFRSF10C,1.631653497,1.563454217,NA,6.57E-18,4.12E-17
CPSF1P1,2.637906796,0.141204335,NA,6.70E-18,4.20E-17
PTRH1,1.836794793,-1.919829151,NA,6.88E-18,4.31E-17
CYP2W1,4.029562189,6.010353754,NA,7.03E-18,4.40E-17
CLSPN,1.16958634,3.142800607,NA,7.08E-18,4.43E-17
CYP4X1,2.901262209,3.45305981,NA,7.13E-18,4.46E-17
WNT5A,1.443533784,4.661448341,NA,7.14E-18,4.47E-17
HSPD1P1,1.473686638,-0.393921684,NA,7.47E-18,4.67E-17
LINC01942,2.840315902,-2.691593118,NA,7.61E-18,4.75E-17
TNNT1,4.094984168,2.006334753,NA,7.81E-18,4.88E-17
AC026356.2,1.699321284,-1.037150223,NA,7.98E-18,4.98E-17
HIST1H1E,6.011066598,2.575785612,NA,8.06E-18,5.02E-17
PAXX,1.022890569,5.326892536,NA,8.12E-18,5.06E-17
LSM7,1.243190285,6.539731112,NA,8.31E-18,5.18E-17
RANBP17,1.463641044,2.487364055,NA,8.41E-18,5.24E-17
COMT,1.14804385,7.208633772,NA,8.50E-18,5.30E-17
POC1B-AS1,1.135981027,1.759387632,NA,8.83E-18,5.50E-17
LRP5L,1.165652927,2.792544271,NA,8.96E-18,5.58E-17
AC121761.1,1.676581117,0.477321495,NA,8.96E-18,5.58E-17
CLDN9,2.613097878,1.146983714,NA,9.00E-18,5.60E-17
SPRR1A,7.703397617,0.354647935,NA,9.05E-18,5.63E-17
CXCL17,5.119636532,0.700456961,NA,9.10E-18,5.66E-17
AL021392.1,1.802028764,-1.566887818,NA,9.23E-18,5.73E-17
AC137767.1,1.227490147,0.352463849,NA,9.27E-18,5.76E-17
BAAT,5.086473094,0.698621457,NA,9.30E-18,5.77E-17
NOD2,1.468120965,2.815696173,NA,9.42E-18,5.85E-17
S1PR5,1.312067341,-0.455119956,NA,9.53E-18,5.92E-17
RPUSD1,1.084524297,5.531557225,NA,9.74E-18,6.04E-17
AC105137.2,1.467950218,-1.718816432,NA,1.00E-17,6.22E-17
LINC02195,2.819819462,-2.406976079,NA,1.03E-17,6.38E-17
GTF2F2P1,2.788338175,-2.708111826,NA,1.04E-17,6.41E-17
CPXM1,1.689535582,3.936395499,NA,1.11E-17,6.84E-17
KCNQ1OT1,2.79196743,3.758297509,NA,1.11E-17,6.87E-17
TREM1,2.605017377,2.2243577,NA,1.13E-17,7.00E-17
RPL11P3,3.687350097,0.421100291,NA,1.14E-17,7.02E-17
PADI3,5.098098477,2.030791266,NA,1.14E-17,7.04E-17
SLC9A5,1.164247438,0.603636096,NA,1.16E-17,7.13E-17
AL031600.1,1.660638033,-1.01019705,NA,1.16E-17,7.17E-17
TMEM191A,1.550579306,2.393141641,NA,1.18E-17,7.25E-17
PGF,1.452215428,3.438813786,NA,1.20E-17,7.39E-17
AL022718.1,5.218587516,0.533655634,NA,1.20E-17,7.42E-17
AC110285.6,2.686880593,-1.052442493,NA,1.24E-17,7.62E-17
BRIP1,1.062681735,3.420546606,NA,1.25E-17,7.68E-17
EREG,2.921920874,5.878121136,NA,1.26E-17,7.72E-17
LPCAT1,1.117843775,6.048229374,NA,1.33E-17,8.19E-17
AC097658.1,2.165726413,0.460051919,NA,1.37E-17,8.42E-17
AC113398.1,3.675655611,1.195427342,NA,1.41E-17,8.66E-17
SKA1,1.107699823,3.420946366,NA,1.46E-17,8.95E-17
NPC1L1,3.987047679,2.726421474,NA,1.49E-17,9.12E-17
DUS3L,1.031607839,5.355639544,NA,1.49E-17,9.12E-17
RAD51AP2,2.141132595,-1.414082931,NA,1.49E-17,9.13E-17
AL359922.2,2.434072102,-0.213486487,NA,1.52E-17,9.31E-17
AC144652.1,1.171831019,0.790605071,NA,1.52E-17,9.31E-17
CLCN5,1.02808243,4.678573967,NA,1.55E-17,9.49E-17
NDUFA4L2,2.278246016,4.354086086,NA,1.55E-17,9.50E-17
GAS2,1.896097391,1.335445219,NA,1.60E-17,9.80E-17
COL12A1,1.826878257,7.85597932,NA,1.61E-17,9.84E-17
AC129926.1,4.267925781,-3.036610713,NA,1.61E-17,9.86E-17
AFAP1-AS1,5.603344856,3.371397853,NA,1.63E-17,9.96E-17
SMPD5,1.966210574,-1.166076412,NA,1.74E-17,1.06E-16
AL355802.2,1.58379236,-1.582682454,NA,1.75E-17,1.06E-16
WFDC10B,2.428476261,-1.443643677,NA,1.76E-17,1.07E-16
F2,5.794879341,1.585109729,NA,1.79E-17,1.09E-16
AC116407.4,1.46914813,-1.112499229,NA,1.85E-17,1.13E-16
AC104564.4,3.118262778,-3.154098571,NA,1.86E-17,1.13E-16
COL5A2,1.758285379,7.512375543,NA,1.88E-17,1.14E-16
LINC02266,4.415452829,-2.768163664,NA,1.98E-17,1.20E-16
AC012512.1,4.749309414,-1.421742386,NA,1.98E-17,1.20E-16
AC023906.1,4.603725673,-0.285670183,NA,1.99E-17,1.21E-16
AC090673.1,3.111480828,-0.037842384,NA,2.00E-17,1.21E-16
TRPM2,1.615152921,4.925773169,NA,2.01E-17,1.22E-16
RUVBL2,1.038068932,7.217960378,NA,2.03E-17,1.23E-16
AL691482.3,1.664723918,2.268922669,NA,2.09E-17,1.27E-16
HMGA1P1,1.579209169,-2.133163687,NA,2.11E-17,1.28E-16
AC078993.1,4.584821189,2.009374106,NA,2.14E-17,1.30E-16
AL117382.1,1.987745419,3.263217665,NA,2.15E-17,1.30E-16
HMMR,1.243023356,4.900662594,NA,2.17E-17,1.32E-16
KCNH4,2.147572305,-0.193534828,NA,2.19E-17,1.33E-16
MAT1A,3.837941046,2.610461485,NA,2.23E-17,1.35E-16
PLAGL2,1.252240253,6.68706414,NA,2.25E-17,1.36E-16
CDH24,1.102213939,3.630133477,NA,2.29E-17,1.39E-16
TSPEAR-AS2,2.789803873,-0.032637046,NA,2.30E-17,1.39E-16
RPS19P7,3.546555836,-1.152087275,NA,2.31E-17,1.40E-16
LINC01833,4.409821461,0.478445323,NA,2.31E-17,1.40E-16
ARHGAP40,4.819746799,-1.225280811,NA,2.33E-17,1.41E-16
ATP5F1EP2,1.922017102,0.572513638,NA,2.39E-17,1.44E-16
SP8,4.642613489,0.150991838,NA,2.40E-17,1.45E-16
AC137932.3,1.237343606,0.628069362,NA,2.41E-17,1.45E-16
MCF2L-AS1,1.504366423,2.361695476,NA,2.42E-17,1.46E-16
LPAL2,1.49543963,0.08292414,NA,2.45E-17,1.48E-16
AC020612.1,1.725374376,-2.378396853,NA,2.45E-17,1.48E-16
MYOM3,2.03982529,4.621230986,NA,2.48E-17,1.49E-16
HELZ2,1.149002683,6.68202748,NA,2.50E-17,1.50E-16
U73166.1,1.568936502,-0.617875551,NA,2.50E-17,1.51E-16
ARVCF,1.048665185,4.255517587,NA,2.52E-17,1.51E-16
EEF1AKMT1,1.043367412,3.179470254,NA,2.56E-17,1.54E-16
PCMTD2,1.038913026,6.105912426,NA,2.59E-17,1.56E-16
ITGA11,1.910216083,5.000208447,NA,2.60E-17,1.56E-16
SPATA20P1,4.117741976,-2.502797027,NA,2.63E-17,1.58E-16
NHP2P1,2.496223396,-1.655177949,NA,2.68E-17,1.61E-16
BRSK2,2.737533883,2.737539605,NA,2.74E-17,1.65E-16
AC132812.1,1.270604328,2.795635285,NA,2.75E-17,1.65E-16
SOX12,1.229986899,4.731065785,NA,2.75E-17,1.65E-16
ELFN1,1.387532057,1.423538885,NA,2.77E-17,1.66E-16
SLC38A5,2.06535876,6.488001937,NA,2.79E-17,1.67E-16
TNNT2,2.346432767,0.241466089,NA,2.84E-17,1.70E-16
RTN4R,1.524361714,3.216679873,NA,2.96E-17,1.77E-16
NOTCH3,1.369224025,6.339297521,NA,3.00E-17,1.80E-16
KRT87P,2.886873801,-2.521296259,NA,3.02E-17,1.81E-16
NPIPB5,2.055331106,2.31511084,NA,3.11E-17,1.86E-16
HNRNPA1P27,2.04180968,-0.902968783,NA,3.12E-17,1.87E-16
AL512652.1,2.100018587,-2.28322232,NA,3.16E-17,1.89E-16
AC087289.2,1.25138113,-1.065210195,NA,3.19E-17,1.91E-16
MT-TM,4.984275904,1.074359483,NA,3.40E-17,2.03E-16
AL118511.1,1.82540575,-2.597701436,NA,3.51E-17,2.09E-16
CILP2,2.707297346,1.040997008,NA,3.55E-17,2.12E-16
FGF20,5.879441756,0.054373414,NA,3.56E-17,2.12E-16
SCDP1,3.032866117,-2.239494026,NA,3.62E-17,2.16E-16
SH2D2A,1.05626127,3.045690968,NA,3.64E-17,2.17E-16
AC083809.1,3.174001351,-0.295655672,NA,3.73E-17,2.22E-16
LINC00922,2.632317813,-2.540595898,NA,3.73E-17,2.22E-16
SMIM25,1.39796394,2.002651289,NA,3.75E-17,2.23E-16
NTHL1,1.133055927,5.271831159,NA,3.88E-17,2.31E-16
AC097358.2,2.145942992,-2.885693418,NA,3.88E-17,2.31E-16
TCTE3,1.151028849,1.359688785,NA,3.97E-17,2.36E-16
TDGF1P3,3.011420538,-2.358211936,NA,4.00E-17,2.38E-16
HCAR1,3.802762715,1.411716847,NA,4.09E-17,2.43E-16
PLEKHG5,1.003241438,5.01086252,NA,4.11E-17,2.44E-16
AC103810.3,2.223835724,-0.063586188,NA,4.15E-17,2.46E-16
LINC01484,2.166061728,-1.912253702,NA,4.18E-17,2.48E-16
NACA2,2.597217636,-0.028925823,NA,4.40E-17,2.61E-16
VENTX,3.823370733,2.43495512,NA,4.42E-17,2.62E-16
ZNF579,1.249469239,3.834949442,NA,4.55E-17,2.69E-16
HSPE1P2,1.835081241,-0.829413871,NA,4.57E-17,2.70E-16
PCED1A,1.111562324,4.698123377,NA,4.58E-17,2.71E-16
SLC9A7,1.585393431,3.712891654,NA,4.63E-17,2.74E-16
MIOX,3.352247124,-1.164956909,NA,4.80E-17,2.83E-16
CAPN12,1.826947581,2.654462827,NA,4.88E-17,2.88E-16
EVX1,3.267352481,2.870165271,NA,5.24E-17,3.09E-16
LINC02487,1.713768667,1.515338857,NA,5.25E-17,3.09E-16
LINC02563,4.20664728,-1.710663995,NA,5.32E-17,3.13E-16
AC008267.5,1.285671096,0.319136702,NA,5.43E-17,3.19E-16
SPATA6L,1.27957446,1.770239504,NA,5.43E-17,3.20E-16
EEPD1,1.03939818,5.223082778,NA,5.58E-17,3.28E-16
AP001453.4,1.046471729,0.416809206,NA,5.87E-17,3.45E-16
GJA3,3.14892237,-0.484143119,NA,5.89E-17,3.46E-16
AC093904.2,2.689548205,-2.224099972,NA,5.91E-17,3.47E-16
AC007750.1,2.887425247,-1.800287242,NA,5.94E-17,3.49E-16
ZNF593,1.133915192,2.592226564,NA,5.97E-17,3.51E-16
AC097263.1,1.243893525,-0.713765325,NA,6.00E-17,3.52E-16
AC079466.1,6.81757222,-0.193122625,NA,6.04E-17,3.54E-16
AC084346.2,2.305850506,-3.074179527,NA,6.20E-17,3.64E-16
ONECUT3,6.735452115,2.023352472,NA,6.28E-17,3.68E-16
LAIR2,2.570816226,-0.503280002,NA,6.30E-17,3.69E-16
ORM2,6.026012586,1.480410086,NA,6.38E-17,3.73E-16
H2AFZP3,2.473692563,-0.683797065,NA,6.52E-17,3.82E-16
CCR8,2.03832903,-1.044615898,NA,6.56E-17,3.83E-16
AC135048.4,1.191483616,0.496819632,NA,6.59E-17,3.85E-16
HIST1H1B,6.424019137,2.562092058,NA,6.59E-17,3.85E-16
LRRC61,1.026943029,4.78112773,NA,6.65E-17,3.89E-16
Z73417.1,2.497553241,-1.001994924,NA,6.65E-17,3.89E-16
ARMC2,1.33461268,1.952702897,NA,6.86E-17,4.01E-16
DUSP2,1.391495517,3.949967258,NA,7.01E-17,4.09E-16
HM13-IT1,1.451128314,-0.873447353,NA,7.21E-17,4.20E-16
AC067930.6,1.379087774,0.611748195,NA,7.30E-17,4.25E-16
RPL13P12,2.237457713,5.661597695,NA,7.45E-17,4.34E-16
AC125807.2,1.163248899,2.447277811,NA,7.61E-17,4.43E-16
AL596223.2,2.115642829,-1.931452186,NA,7.84E-17,4.56E-16
HSPD1P6,1.426716927,-1.479244163,NA,8.29E-17,4.82E-16
HSPD1P4,1.625212199,-0.606321378,NA,8.72E-17,5.06E-16
SPHK1,1.871806462,3.804796486,NA,9.09E-17,5.27E-16
FO393411.1,2.303615361,1.137065889,NA,9.33E-17,5.41E-16
AL139095.2,2.548238247,1.371227104,NA,9.44E-17,5.47E-16
DUXAP9,3.485308198,-1.569654429,NA,9.50E-17,5.50E-16
AC132192.2,1.182142223,0.144889328,NA,9.72E-17,5.62E-16
AC067930.5,2.235257826,-0.819780371,NA,9.89E-17,5.72E-16
SPON2,1.294350941,6.245101778,NA,9.93E-17,5.74E-16
RPS11P5,2.440757787,2.633144192,NA,1.01E-16,5.82E-16
AC096537.1,2.841232547,-2.69316484,NA,1.03E-16,5.96E-16
RASSF10,2.34004562,2.883495241,NA,1.03E-16,5.97E-16
AC027237.3,1.062846412,-1.041933578,NA,1.03E-16,5.97E-16
VGLL1,6.341176352,-0.947434283,NA,1.05E-16,6.07E-16
AC010655.2,1.872119063,-2.257430255,NA,1.05E-16,6.08E-16
KLK11,3.212383648,3.469311722,NA,1.07E-16,6.18E-16
MSLN,2.97156222,6.34341382,NA,1.08E-16,6.20E-16
LUCAT1,3.010743901,-0.514343928,NA,1.09E-16,6.28E-16
FGFR4,1.398741559,6.96904999,NA,1.11E-16,6.42E-16
H2AFX,1.079826447,6.411468426,NA,1.12E-16,6.46E-16
AC069218.1,2.683121331,0.242805058,NA,1.13E-16,6.48E-16
RTN4RL2,1.731800234,0.630644111,NA,1.15E-16,6.60E-16
AC093904.4,2.667558476,-0.529187694,NA,1.15E-16,6.62E-16
SLC25A6P2,4.537788224,0.30435631,NA,1.18E-16,6.81E-16
MPP4,2.152393596,-2.773282417,NA,1.22E-16,7.01E-16
NEUROG2,5.52865885,-1.031376585,NA,1.22E-16,7.03E-16
AC064850.1,2.042586282,-2.611383896,NA,1.23E-16,7.06E-16
AC093616.1,1.526238226,-1.015115469,NA,1.24E-16,7.14E-16
SCARNA12,3.491786313,-0.065876899,NA,1.28E-16,7.32E-16
AC108751.4,2.414846787,-2.559703738,NA,1.29E-16,7.38E-16
AL512652.2,2.211029821,-2.643517208,NA,1.30E-16,7.43E-16
PLPP2,1.010488948,7.204829749,NA,1.31E-16,7.53E-16
CCT6P2,2.78900878,-1.844331336,NA,1.32E-16,7.57E-16
LINC01485,3.526798998,-0.611353681,NA,1.32E-16,7.57E-16
AC113346.1,4.266965553,-3.037670239,NA,1.33E-16,7.61E-16
KCNJ11,1.434683451,2.141982844,NA,1.33E-16,7.64E-16
SPRR2A,7.067745444,0.509090469,NA,1.34E-16,7.67E-16
ADAMTS14,1.285670216,3.237917035,NA,1.34E-16,7.69E-16
ALOXE3,2.821783232,-1.589729391,NA,1.36E-16,7.77E-16
RUSC1-AS1,1.245879301,2.804584716,NA,1.38E-16,7.91E-16
OTUD6B,1.060720712,4.14227495,NA,1.39E-16,7.95E-16
MIR6797,2.128937316,-3.011793778,NA,1.46E-16,8.36E-16
AC112907.2,1.730523063,-1.922274578,NA,1.48E-16,8.45E-16
PROX1-AS1,1.970420866,0.507669131,NA,1.53E-16,8.70E-16
AL117379.1,1.580865511,-0.036799484,NA,1.53E-16,8.75E-16
C2CD4B,2.492765296,3.053961957,NA,1.56E-16,8.86E-16
POLD1,1.003932737,5.596963645,NA,1.56E-16,8.87E-16
AC112484.4,1.936933613,-2.720431558,NA,1.56E-16,8.89E-16
SLC43A1,1.183563021,5.21595187,NA,1.58E-16,9.01E-16
ERP27,2.722581036,2.940172604,NA,1.61E-16,9.16E-16
SPRR1B,7.329002169,0.748468112,NA,1.63E-16,9.29E-16
AF127577.3,4.447538482,-1.221712141,NA,1.65E-16,9.40E-16
AGRN,1.107856695,7.806065592,NA,1.66E-16,9.46E-16
SRRM5,1.140096592,-0.355438149,NA,1.69E-16,9.58E-16
TRIM71,5.609276548,-0.11496195,NA,1.69E-16,9.58E-16
LINC02544,3.823581923,-2.099190639,NA,1.70E-16,9.65E-16
IL1A,2.570528453,1.492712492,NA,1.71E-16,9.70E-16
ZNF860,1.03668853,0.980016025,NA,1.71E-16,9.72E-16
RNF224,2.168479971,-0.927122524,NA,1.72E-16,9.77E-16
LINC00894,1.753248722,1.33843128,NA,1.74E-16,9.89E-16
IFNL3P1,2.430869139,-2.406566921,NA,1.75E-16,9.95E-16
AC009362.1,3.963470652,-0.472212947,NA,1.77E-16,1.00E-15
AL355987.4,1.845630208,2.430235821,NA,1.78E-16,1.01E-15
FRMD5,1.6859594,2.898584274,NA,1.78E-16,1.01E-15
AC009065.5,1.1007595,3.21264529,NA,1.83E-16,1.04E-15
AC104365.1,4.861881275,-1.868423149,NA,1.88E-16,1.06E-15
AC087741.1,1.325087183,1.919102826,NA,1.89E-16,1.07E-15
NPW,2.928419753,1.015805917,NA,1.90E-16,1.07E-15
AC011603.2,2.145084191,-1.324189269,NA,1.93E-16,1.09E-15
ZDHHC20-IT1,2.046182511,-1.951813937,NA,1.94E-16,1.10E-15
AL365356.5,2.760907082,-1.852232119,NA,1.99E-16,1.12E-15
IGF2BP1,5.03230949,2.477203986,NA,2.03E-16,1.15E-15
F7,3.753438583,1.419820225,NA,2.04E-16,1.15E-15
MIR25,1.468817425,-1.027900287,NA,2.06E-16,1.16E-15
UCKL1-AS1,1.63854359,0.664946049,NA,2.06E-16,1.16E-15
CTSH,1.067846824,7.17096473,NA,2.10E-16,1.18E-15
AC136475.7,2.531203924,-2.026153597,NA,2.10E-16,1.18E-15
AC012313.8,1.349822035,-0.7520433,NA,2.11E-16,1.19E-15
GIF,3.563929106,1.070143167,NA,2.14E-16,1.20E-15
TRPV4,1.678288723,1.399785244,NA,2.15E-16,1.21E-15
AL359881.2,2.858143751,-2.570864851,NA,2.15E-16,1.21E-15
SNORD15B,4.253402589,-0.029203721,NA,2.23E-16,1.25E-15
PHLDA2,1.434495836,5.636397463,NA,2.23E-16,1.25E-15
LRFN4,1.135450114,5.399676732,NA,2.24E-16,1.26E-15
AC007683.1,2.367376981,0.255966713,NA,2.25E-16,1.27E-15
MRPL3P1,2.548027803,-1.984038865,NA,2.40E-16,1.35E-15
AQP5,5.610428292,2.427862456,NA,2.40E-16,1.35E-15
SERPIND1,4.118735761,1.324052798,NA,2.44E-16,1.37E-15
GMPSP1,1.553481434,-1.797898461,NA,2.50E-16,1.40E-15
NPM1P39,1.270848755,-0.507356678,NA,2.53E-16,1.42E-15
AC138904.1,2.179385566,-0.107973925,NA,2.65E-16,1.49E-15
AL031719.2,1.168248152,-1.23583692,NA,2.75E-16,1.54E-15
RYKP1,3.004429505,-1.67239245,NA,2.77E-16,1.55E-15
PILRB,1.636828284,2.871005299,NA,2.78E-16,1.56E-15
SNRPFP1,3.131394368,-2.451622966,NA,2.86E-16,1.60E-15
AKAP4,4.881740029,-1.802305535,NA,2.89E-16,1.61E-15
MIPEPP3,1.087530106,0.423912497,NA,3.05E-16,1.70E-15
LINC00592,3.086263264,-3.451605976,NA,3.08E-16,1.71E-15
AC005785.1,1.241834105,-0.349020066,NA,3.26E-16,1.81E-15
ZNF703,1.058793935,7.973376668,NA,3.35E-16,1.86E-15
TMEM75,4.594838707,-1.026332635,NA,3.35E-16,1.86E-15
AC073136.1,2.023333126,-2.361385252,NA,3.39E-16,1.89E-15
AC098859.1,2.315554049,-1.998386863,NA,3.43E-16,1.91E-15
DPY19L1P1,1.108436833,1.477284014,NA,3.44E-16,1.91E-15
AL049872.1,1.511826913,0.045131112,NA,3.46E-16,1.92E-15
UBTD1,1.159500421,3.152572848,NA,3.46E-16,1.92E-15
AC007405.1,1.792680557,-1.418219635,NA,3.47E-16,1.93E-15
AC011352.3,4.322401143,-2.881861009,NA,3.53E-16,1.96E-15
LEMD1-AS1,3.275345586,-2.4219503,NA,3.60E-16,1.99E-15
SLC27A5,1.740998478,3.484115819,NA,3.63E-16,2.01E-15
STAG3L5P-PVRIG2P-PILRB,1.250501081,1.308206375,NA,3.64E-16,2.02E-15
IGFL2,3.364054079,1.530238045,NA,3.78E-16,2.10E-15
HSP90B3P,2.743272641,-1.205851483,NA,3.81E-16,2.11E-15
GPR4,1.123886202,2.554377972,NA,3.83E-16,2.12E-15
AC083880.1,1.328359311,-1.13855717,NA,3.96E-16,2.19E-15
SLC7A5P1,1.59013061,-0.963436321,NA,4.01E-16,2.22E-15
RPL39P40,2.267283191,-0.949619778,NA,4.02E-16,2.22E-15
RPL18P13,4.163400544,-0.405222692,NA,4.02E-16,2.22E-15
AL390719.1,1.454818276,1.07276716,NA,4.07E-16,2.25E-15
TUBB3,1.659624045,1.665331905,NA,4.07E-16,2.25E-15
PDF,1.496183302,2.422102097,NA,4.09E-16,2.26E-15
MMP20,3.687503546,-1.914808148,NA,4.10E-16,2.27E-15
PABPC1P1,2.346582665,-1.383503125,NA,4.13E-16,2.28E-15
NPM2,1.66645568,1.219014301,NA,4.15E-16,2.29E-15
SCARNA9,3.04776817,0.46613969,NA,4.18E-16,2.31E-15
AL669983.1,3.10856195,-0.576833334,NA,4.21E-16,2.32E-15
ISM2,3.940097726,1.67579699,NA,4.25E-16,2.34E-15
HECW2,1.363680219,2.567002074,NA,4.40E-16,2.42E-15
AC092535.4,1.42907146,-0.264959155,NA,4.41E-16,2.43E-15
SNRPGP2,1.198265516,1.70762472,NA,4.51E-16,2.48E-15
AC004471.1,1.459309371,-1.801407564,NA,4.52E-16,2.49E-15
P4HA3,1.789354299,1.452722041,NA,4.59E-16,2.52E-15
MZT2A,1.037679266,5.628470867,NA,4.74E-16,2.61E-15
RPL30P4,3.153329505,-0.973171818,NA,4.88E-16,2.68E-15
BEST3,4.22099417,-0.622786081,NA,4.96E-16,2.72E-15
IFITM5,4.003863367,-2.639267181,NA,5.02E-16,2.75E-15
S100A11P1,3.767599963,-2.729578551,NA,5.20E-16,2.85E-15
AL161452.1,1.397428806,-1.38058661,NA,5.25E-16,2.88E-15
TREX2,1.361094397,-0.543780191,NA,5.41E-16,2.96E-15
GAPDHP71,2.157539742,-1.206252564,NA,5.50E-16,3.01E-15
TWIST1,1.836451931,1.636240914,NA,5.59E-16,3.06E-15
RPS21,1.368681809,9.805231882,NA,5.66E-16,3.10E-15
FBXL6,1.214027372,5.827373482,NA,5.68E-16,3.11E-15
AZGP1P1,2.73610211,-1.235564425,NA,5.82E-16,3.18E-15
NKILA,1.739024938,1.718374567,NA,5.86E-16,3.20E-15
TSNARE1,1.000325382,4.379325922,NA,5.90E-16,3.22E-15
RTEL1,1.024684798,0.695679173,NA,5.98E-16,3.27E-15
KRT6A,5.78029554,3.370685746,NA,5.98E-16,3.27E-15
CYCSP6,3.727004754,-0.399229985,NA,6.07E-16,3.32E-15
APCDD1,2.503676719,6.722393722,NA,6.09E-16,3.33E-15
RHBDL1,1.683316607,2.494170059,NA,6.26E-16,3.42E-15
AL121829.2,2.169303566,-2.129154877,NA,6.29E-16,3.43E-15
AC021851.1,1.391373642,-1.159696018,NA,6.52E-16,3.55E-15
AC132872.2,1.593084354,-1.84257953,NA,6.82E-16,3.72E-15
ERVMER34-1,2.521947573,1.739630448,NA,6.83E-16,3.72E-15
DLX6,4.000879297,0.16800691,NA,6.91E-16,3.76E-15
Z97353.1,3.188149286,0.63952688,NA,6.93E-16,3.77E-15
RCOR2,1.484246892,2.573824451,NA,6.94E-16,3.78E-15
AL445222.1,1.607877199,-1.268892382,NA,6.98E-16,3.80E-15
MIR135B,3.124190101,-3.553522108,NA,7.04E-16,3.83E-15
THBS2,2.300922348,7.178296812,NA,7.08E-16,3.85E-15
AC010789.1,4.544514474,-2.5275367,NA,7.32E-16,3.98E-15
