"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GTF2IRD1",1.85226681361771,7.4399014679302,21.283362739152,7.38232263792421e-12,7.97316577877119e-09,17.5440995413728
"NFAT5",1.40640940604978,6.81278068430112,21.208836805446,7.73400176184327e-12,7.97316577877119e-09,17.5008997256851
"ZAK",2.1038053518906,6.1437935384205,19.977236516629,1.70798286610931e-11,1.3887700263767e-08,16.759703659368
"CEBPB",2.2566133470903,9.34881627103915,19.742494758652,1.9967350880191e-11,1.41761535465729e-08,16.6123378742732
"TMEM158",2.66632056285764,6.04963751704629,17.4148130995715,1.0398094217279e-10,4.61393768195469e-08,15.0331175077339
"SLC7A5",2.88090753972758,6.77977924722971,17.2284578634692,1.19701219728666e-10,4.89317703122545e-08,14.8966223012508
"CXCL16",1.27528033892123,7.00790897488256,16.1472649899353,2.78782327736347e-10,9.13505353608685e-08,14.0718117722077
"ASCL2",2.4296316773838,5.61919742136054,15.6551609318663,4.16714757756451e-10,1.1868644571936e-07,13.6767192126784
"LY6G6D",4.08605991414579,6.93233774455674,15.5463093729902,4.56165406465123e-10,1.19743769956984e-07,13.5875688262961
"OSBPL3",1.59136877514125,5.89313435792058,15.3178225870761,5.52576583879932e-10,1.3374237113703e-07,13.3983066860519
"PPM1H",1.03266251695385,4.13305145162293,15.0412639256564,6.99335996354559e-10,1.64163780973433e-07,13.165284459609
"TNFRSF12A",1.38939164861035,7.17356581138133,15.036176243315,7.02398268470096e-10,1.64163780973433e-07,13.1609565481133
"CSE1L",1.81417407681684,7.59951688437724,15.0251282813344,7.09097509251883e-10,1.64163780973433e-07,13.1515532671003
"GARS",1.57265454510615,9.34418849373645,14.7819011283631,8.75302602314214e-10,1.91021700240225e-07,12.9427246515002
"RNF43",2.34832557846703,8.04383293331354,14.7703942062285,8.84133637693184e-10,1.91021700240225e-07,12.9327585173624
"WDR43",1.2253723737356,7.14514248675656,14.7655380870673,8.87889024075417e-10,1.91021700240225e-07,12.9285502687126
"NUFIP1",1.56029710683886,5.70385318701297,14.7022432812672,9.38427622264845e-10,1.97896731946722e-07,12.8735708892443
"ABCC1",1.86526398036518,6.85183994743015,14.6204176489479,1.00836657151776e-09,2.04544758159588e-07,12.8021383737247
"PUS7",1.90302436052768,7.35836546549292,14.4260277514012,1.19786346837728e-09,2.27797267972927e-07,12.6308061249347
"TMEM97",1.50110276358267,7.64789437582585,14.3788042209212,1.24942636553345e-09,2.34088373027723e-07,12.5888330628312
"DKC1",1.8248965189602,8.56599948280961,14.2574419444955,1.39313872149609e-09,2.51461539230045e-07,12.4803267265865
"CDCA7",1.37278185140937,7.56312385307643,14.1309961590402,1.56184532996681e-09,2.66125949463704e-07,12.3662886825495
"RPF2",1.2943372239524,8.09511381201231,13.7985330177433,2.11862833602569e-09,3.22319035207222e-07,12.0615434853438
"TMEM41A",1.19222079980905,6.94479485360046,13.7677066809435,2.18008736219963e-09,3.26997751602042e-07,12.0329206859057
"MYL6B",1.31375910314217,6.72603307285537,13.6887446448577,2.34637215255492e-09,3.42297126556626e-07,11.9593147479957
"FOXQ1",5.1604307988984,7.51509847365421,13.5728681067008,2.61538809988958e-09,3.76386156348298e-07,11.8505412551137
"CD3EAP",1.66170015532452,6.09283117971861,13.5372350043122,2.70459622017757e-09,3.76504541787987e-07,11.8169098533305
"NFE2L3",2.73192156664559,5.8728216506756,13.2717893194657,3.48076173806526e-09,4.61563662836974e-07,11.5636315190451
"SNHG15",1.18554318794647,6.69195759812924,13.0486846028027,4.31764168642382e-09,5.37786258942345e-07,11.3469374944762
"DARS",1.23458107998922,8.34856516903893,12.760453580388,5.7305332007682e-09,6.56207670124526e-07,11.0616775762954
"RCN1",1.72187995035117,8.79781097592351,12.6937252982024,6.12347377551417e-09,6.90480566882924e-07,10.9947649657882
"TRIP13",2.17758001003,6.69710787468667,12.6931331206245,6.12708705295425e-09,6.90480566882924e-07,10.9941696647339
"ATRX",1.08067738875958,6.32357180262113,12.5644393528331,6.969044419167e-09,7.61198344019682e-07,10.8641715894797
"IER3",2.39465636725783,9.50268387145061,12.4635362879892,7.71541467111305e-09,8.13517906336816e-07,10.7613673003991
"DUSP14",2.04008580519127,5.21830646044375,12.4493537342115,7.8269804948247e-09,8.17833382594233e-07,10.7468550445722
"ENC1",1.95038550553665,7.83286810898133,12.4234970866083,8.03483513660512e-09,8.31843690819877e-07,10.7203574689468
"ZNF593",1.57734115415134,6.7806434896131,12.4174252381559,8.08449429549343e-09,8.31843690819877e-07,10.7141276399321
"JADE3",2.12229209823471,6.39169468326624,12.3671489227601,8.50849173206442e-09,8.6296364476781e-07,10.6624336607266
"MTHFD1L",1.20927936887454,4.61684734973829,12.2743780245784,9.35443169960851e-09,9.26697864046333e-07,10.5665307742338
"MRPS17",1.41926910497398,7.56644755325705,12.1829036458316,1.02769735371091e-08,9.99494335008619e-07,10.4713068540984
"ADRM1",1.31737073225711,8.41329710440729,12.1550190676006,1.05771468902177e-08,1.01937851409387e-06,10.4421476240798
"PAFAH1B3",1.56113271668139,7.41565807955727,12.1105922575363,1.10748865149467e-08,1.0530536066154e-06,10.3955621058275
"MFAP2",2.43035769682244,6.70863377920645,12.0688778215394,1.15650352021879e-08,1.08992780872301e-06,10.3516770897977
"AMPD2",1.15160290166432,6.6137402448047,12.0366458670893,1.1959602552141e-08,1.11722620507917e-06,10.3176722422744
"PDCD2L",1.66105006908935,6.9170752393817,12.0020229929415,1.23994904657559e-08,1.14824672795711e-06,10.2810516094439
"CDC25B",2.09311259129712,7.84613437234322,11.9870215961873,1.25954164650974e-08,1.1613410185719e-06,10.2651545054256
"TRIM28",1.24132336233172,8.76370437963704,11.9819903530687,1.26618646049098e-08,1.16243557853437e-06,10.2598187692152
"CMSS1",1.85654578161651,6.67023503088503,11.936205077064,1.32840300992776e-08,1.21431998748719e-06,10.2111679782952
"HSPH1",1.66317089015185,7.88245570249814,11.889962747855,1.39456257745676e-08,1.26394843988305e-06,10.161857908391
"KDM2B",1.16940019783844,6.84859642767799,11.8097893161739,1.51774138183209e-08,1.36398201230556e-06,10.0759494747968
"NCR3LG1",1.60084395163274,6.63279240051628,11.773913270328,1.57657459417914e-08,1.3894799861748e-06,10.0373350622494
"CBX4",1.35132143314439,6.03248148745256,11.7558788791623,1.60706376088562e-08,1.4085946931318e-06,10.0178837427058
"PUS1",1.36929478754096,6.24170393432249,11.7414212447396,1.63196013610046e-08,1.42196821678025e-06,10.00227063245
"TOMM34",1.64590396158741,7.86829280753148,11.7392847174798,1.63567403686164e-08,1.42196821678025e-06,9.9999618720092
"NKRF",1.64137879976603,6.54255711395087,11.7266755395768,1.657776826711e-08,1.43532474114299e-06,9.98632845910555
"PMEPA1",1.90230385752118,7.6628621675052,11.687085339312,1.72927000834224e-08,1.47534033615338e-06,9.94343590114872
"E2F3",1.2202485451462,6.56458356267569,11.6857697865602,1.73170141339193e-08,1.47534033615338e-06,9.94200835711711
"KDELC1",1.62466517043603,4.83866893116927,11.6462962184363,1.80637911922955e-08,1.52071418420831e-06,9.89910673452046
"C2",1.15894493852722,5.2396777530744,11.6419710257726,1.81476810126478e-08,1.52176164522987e-06,9.89439794171121
"ETV4",1.4927074644027,5.98733131576864,11.5893611102031,1.92020188120996e-08,1.59950569683508e-06,9.83699538841103
"MYC",2.61530738881322,9.55070850438229,11.4993175478509,2.11610988570956e-08,1.7058059179788e-06,9.73820272583719
