"","logFC","logCPM","PValue","FDR"
"LRRC61",1.02694302898323,4.78112772993434,6.64916606520493e-17,3.88653290468121e-16
"Z73417.1",2.49755324125785,-1.00199492393523,6.65221826274732e-17,3.88759769839023e-16
"ARMC2",1.33461268012229,1.95270289739273,6.86387415884237e-17,4.00832488540309e-16
"DUSP2",1.39149551705486,3.94996725793679,7.01019881254169e-17,4.08923949565417e-16
"HM13-IT1",1.45112831363062,-0.873447352955808,7.20551572018491e-17,4.20007118353878e-16
"AC067930.6",1.37908777448176,0.611748194616939,7.29664556887658e-17,4.25162160563478e-16
"RPL13P12",2.23745771302998,5.66159769529228,7.45073163627005e-17,4.33740491219236e-16
"AC125807.2",1.16324889887146,2.44727781054125,7.61001310664213e-17,4.42849777266798e-16
"AL596223.2",2.1156428285896,-1.93145218589822,7.83561774384938e-17,4.55726567344318e-16
"HSPD1P6",1.42671692664693,-1.47924416329069,8.28716227423767e-17,4.81634138576142e-16
"HSPD1P4",1.62521219933999,-0.606321377836844,8.71681832573088e-17,5.06139388650644e-16
"SPHK1",1.87180646234853,3.80479648577884,9.09058221932478e-17,5.27163663830998e-16
"FO393411.1",2.30361536092551,1.13706588897988,9.33047954844147e-17,5.40678357252222e-16
"AL139095.2",2.54823824671517,1.37122710359312,9.44206207240734e-17,5.46943650629932e-16
"DUXAP9",3.48530819781983,-1.56965442933205,9.49705690269786e-17,5.4985201835287e-16
"AC132192.2",1.18214222348042,0.144889328016094,9.72217481735798e-17,5.62447663440379e-16
"AC067930.5",2.23525782578107,-0.819780371038217,9.88531106395408e-17,5.7178072582113e-16
"SPON2",1.29435094050893,6.24510177831255,9.93402969503168e-17,5.74388360459619e-16
"RPS11P5",2.44075778663665,2.63314419225056,1.00706413570961e-16,5.82180736312421e-16
"AC096537.1",2.84123254748832,-2.69316484034405,1.0309741880228e-16,5.95567151621947e-16
